family,base_price_sim,cost_ratio_sim,target_gross_margin_pct_sim,sourcing_group,primary_supplier_id,gross_margin_pct_sim,markdown_pct_sim,break_even_uplift_pct_sim,estimated_observational_uplift_pct
AUTOMOTIVE,12.5,0.7,0.3,HARDLINE,S09,29.261,1.144,96.0678,27.7557
BABY CARE,8.9,0.68,0.32,HOUSEHOLD,S07,31.383,0.287,2049.7608,305.5556
BEAUTY,6.4,0.55,0.45,HOUSEHOLD,S08,41.888,5.546,78.5565,76.0556
BEVERAGES,1.2,0.68,0.32,PACKAGED,S04,23.462,11.146,79.602,110.14
BOOKS,9.5,0.65,0.35,MEDIA,S13,35.176,0.0,,
BREAD/BAKERY,2.1,0.69,0.31,FRESH,S01,27.137,5.16,44.3413,22.6358
CELEBRATION,4.8,0.6,0.4,APPAREL,S11,39.275,1.028,43.1551,24.2439
CLEANING,2.6,0.7,0.3,HOUSEHOLD,S07,23.387,8.549,79.9695,15.73
DAIRY,1.8,0.72,0.28,FRESH,S02,22.999,6.506,52.2672,39.0823
DELI,6.2,0.71,0.29,FRESH,S03,24.436,6.083,62.4767,19.3111
EGGS,2.4,0.75,0.25,FRESH,S01,21.285,4.532,91.1239,22.049
FROZEN FOODS,4.3,0.7,0.3,PACKAGED,S05,25.114,6.646,59.8699,47.4114
GROCERY I,1.6,0.73,0.27,PACKAGED,S06,18.047,10.896,116.1349,28.2995
GROCERY II,3.1,0.71,0.29,PACKAGED,S04,28.578,0.745,74.2299,32.8554
HARDWARE,7.8,0.68,0.32,HARDLINE,S10,31.612,0.062,144.13,151.3966
HOME AND KITCHEN I,9.2,0.66,0.34,HARDLINE,S09,30.542,4.876,81.6247,145.5581
HOME AND KITCHEN II,11.4,0.66,0.34,HARDLINE,S10,27.882,8.514,87.7916,322.4888
HOME APPLIANCES,48.0,0.74,0.26,HARDLINE,S09,26.188,0.062,,392.3077
HOME CARE,3.4,0.71,0.29,HOUSEHOLD,S08,21.225,9.833,116.9087,180.5615
LADIESWEAR,14.6,0.48,0.52,APPAREL,S12,51.788,0.208,39.7218,37.3446
LAWN AND GARDEN,8.7,0.67,0.33,HARDLINE,S10,31.291,2.133,102.4772,130.8139
LINGERIE,9.8,0.45,0.55,APPAREL,S11,54.347,0.694,40.9162,38.7832
"LIQUOR,WINE,BEER",7.4,0.7,0.3,PACKAGED,S05,25.93,5.139,141.6785,27.0551
MAGAZINES,3.2,0.72,0.28,MEDIA,S14,27.846,0.046,185.4096,40.1929
MEATS,5.6,0.76,0.24,FRESH,S02,20.289,4.914,158.2847,12.1937
PERSONAL CARE,4.1,0.62,0.38,HOUSEHOLD,S07,31.853,8.988,78.9679,25.0889
PET SUPPLIES,6.8,0.69,0.31,HOUSEHOLD,S08,28.3,4.116,1773.3161,37.2712
PLAYERS AND ELECTRONICS,32.0,0.75,0.25,HARDLINE,S09,25.003,0.338,96.933,38.092
POULTRY,4.2,0.77,0.23,FRESH,S03,19.66,4.454,165.5757,28.1719
PREPARED FOODS,5.1,0.7,0.3,FRESH,S01,28.337,2.421,52.5336,13.9958
PRODUCE,1.4,0.74,0.26,FRESH,S02,20.027,7.474,89.7396,215.5735
SCHOOL AND OFFICE SUPPLIES,2.9,0.58,0.42,MEDIA,S13,33.159,14.531,103.0075,3972.0271
SEAFOOD,8.6,0.74,0.26,FRESH,S03,22.502,4.96,163.7252,12.8764
