date,year,month,month_name,day,day_of_week,day_name,week_of_year,quarter,is_weekend,is_month_start,is_month_end,is_payday
2013-01-01,2013,1,January,1,1,Tuesday,1,1,False,True,False,False
2013-01-02,2013,1,January,2,2,Wednesday,1,1,False,False,False,False
2013-01-03,2013,1,January,3,3,Thursday,1,1,False,False,False,False
2013-01-04,2013,1,January,4,4,Friday,1,1,False,False,False,False
2013-01-05,2013,1,January,5,5,Saturday,1,1,True,False,False,False
2013-01-06,2013,1,January,6,6,Sunday,1,1,True,False,False,False
2013-01-07,2013,1,January,7,0,Monday,2,1,False,False,False,False
2013-01-08,2013,1,January,8,1,Tuesday,2,1,False,False,False,False
2013-01-09,2013,1,January,9,2,Wednesday,2,1,False,False,False,False
2013-01-10,2013,1,January,10,3,Thursday,2,1,False,False,False,False
2013-01-11,2013,1,January,11,4,Friday,2,1,False,False,False,False
2013-01-12,2013,1,January,12,5,Saturday,2,1,True,False,False,False
2013-01-13,2013,1,January,13,6,Sunday,2,1,True,False,False,False
2013-01-14,2013,1,January,14,0,Monday,3,1,False,False,False,False
2013-01-15,2013,1,January,15,1,Tuesday,3,1,False,False,False,True
2013-01-16,2013,1,January,16,2,Wednesday,3,1,False,False,False,False
2013-01-17,2013,1,January,17,3,Thursday,3,1,False,False,False,False
2013-01-18,2013,1,January,18,4,Friday,3,1,False,False,False,False
2013-01-19,2013,1,January,19,5,Saturday,3,1,True,False,False,False
2013-01-20,2013,1,January,20,6,Sunday,3,1,True,False,False,False
2013-01-21,2013,1,January,21,0,Monday,4,1,False,False,False,False
2013-01-22,2013,1,January,22,1,Tuesday,4,1,False,False,False,False
2013-01-23,2013,1,January,23,2,Wednesday,4,1,False,False,False,False
2013-01-24,2013,1,January,24,3,Thursday,4,1,False,False,False,False
2013-01-25,2013,1,January,25,4,Friday,4,1,False,False,False,False
2013-01-26,2013,1,January,26,5,Saturday,4,1,True,False,False,False
2013-01-27,2013,1,January,27,6,Sunday,4,1,True,False,False,False
2013-01-28,2013,1,January,28,0,Monday,5,1,False,False,False,False
2013-01-29,2013,1,January,29,1,Tuesday,5,1,False,False,False,False
2013-01-30,2013,1,January,30,2,Wednesday,5,1,False,False,False,False
2013-01-31,2013,1,January,31,3,Thursday,5,1,False,False,True,True
2013-02-01,2013,2,February,1,4,Friday,5,1,False,True,False,False
2013-02-02,2013,2,February,2,5,Saturday,5,1,True,False,False,False
2013-02-03,2013,2,February,3,6,Sunday,5,1,True,False,False,False
2013-02-04,2013,2,February,4,0,Monday,6,1,False,False,False,False
2013-02-05,2013,2,February,5,1,Tuesday,6,1,False,False,False,False
2013-02-06,2013,2,February,6,2,Wednesday,6,1,False,False,False,False
2013-02-07,2013,2,February,7,3,Thursday,6,1,False,False,False,False
2013-02-08,2013,2,February,8,4,Friday,6,1,False,False,False,False
2013-02-09,2013,2,February,9,5,Saturday,6,1,True,False,False,False
2013-02-10,2013,2,February,10,6,Sunday,6,1,True,False,False,False
2013-02-11,2013,2,February,11,0,Monday,7,1,False,False,False,False
2013-02-12,2013,2,February,12,1,Tuesday,7,1,False,False,False,False
2013-02-13,2013,2,February,13,2,Wednesday,7,1,False,False,False,False
2013-02-14,2013,2,February,14,3,Thursday,7,1,False,False,False,False
2013-02-15,2013,2,February,15,4,Friday,7,1,False,False,False,True
2013-02-16,2013,2,February,16,5,Saturday,7,1,True,False,False,False
2013-02-17,2013,2,February,17,6,Sunday,7,1,True,False,False,False
2013-02-18,2013,2,February,18,0,Monday,8,1,False,False,False,False
2013-02-19,2013,2,February,19,1,Tuesday,8,1,False,False,False,False
2013-02-20,2013,2,February,20,2,Wednesday,8,1,False,False,False,False
2013-02-21,2013,2,February,21,3,Thursday,8,1,False,False,False,False
2013-02-22,2013,2,February,22,4,Friday,8,1,False,False,False,False
2013-02-23,2013,2,February,23,5,Saturday,8,1,True,False,False,False
2013-02-24,2013,2,February,24,6,Sunday,8,1,True,False,False,False
2013-02-25,2013,2,February,25,0,Monday,9,1,False,False,False,False
2013-02-26,2013,2,February,26,1,Tuesday,9,1,False,False,False,False
2013-02-27,2013,2,February,27,2,Wednesday,9,1,False,False,False,False
2013-02-28,2013,2,February,28,3,Thursday,9,1,False,False,True,True
2013-03-01,2013,3,March,1,4,Friday,9,1,False,True,False,False
2013-03-02,2013,3,March,2,5,Saturday,9,1,True,False,False,False
2013-03-03,2013,3,March,3,6,Sunday,9,1,True,False,False,False
2013-03-04,2013,3,March,4,0,Monday,10,1,False,False,False,False
2013-03-05,2013,3,March,5,1,Tuesday,10,1,False,False,False,False
2013-03-06,2013,3,March,6,2,Wednesday,10,1,False,False,False,False
2013-03-07,2013,3,March,7,3,Thursday,10,1,False,False,False,False
2013-03-08,2013,3,March,8,4,Friday,10,1,False,False,False,False
2013-03-09,2013,3,March,9,5,Saturday,10,1,True,False,False,False
2013-03-10,2013,3,March,10,6,Sunday,10,1,True,False,False,False
2013-03-11,2013,3,March,11,0,Monday,11,1,False,False,False,False
2013-03-12,2013,3,March,12,1,Tuesday,11,1,False,False,False,False
2013-03-13,2013,3,March,13,2,Wednesday,11,1,False,False,False,False
2013-03-14,2013,3,March,14,3,Thursday,11,1,False,False,False,False
2013-03-15,2013,3,March,15,4,Friday,11,1,False,False,False,True
2013-03-16,2013,3,March,16,5,Saturday,11,1,True,False,False,False
2013-03-17,2013,3,March,17,6,Sunday,11,1,True,False,False,False
2013-03-18,2013,3,March,18,0,Monday,12,1,False,False,False,False
2013-03-19,2013,3,March,19,1,Tuesday,12,1,False,False,False,False
2013-03-20,2013,3,March,20,2,Wednesday,12,1,False,False,False,False
2013-03-21,2013,3,March,21,3,Thursday,12,1,False,False,False,False
2013-03-22,2013,3,March,22,4,Friday,12,1,False,False,False,False
2013-03-23,2013,3,March,23,5,Saturday,12,1,True,False,False,False
2013-03-24,2013,3,March,24,6,Sunday,12,1,True,False,False,False
2013-03-25,2013,3,March,25,0,Monday,13,1,False,False,False,False
