family,family_group
AUTOMOTIVE,Automotive & Pets
BABY CARE,Personal Care & Health
BEAUTY,Personal Care & Health
BEVERAGES,Food & Beverage
BOOKS,Electronics & Leisure
BREAD/BAKERY,Food & Beverage
CELEBRATION,Other
CLEANING,Home & Household
DAIRY,Food & Beverage
DELI,Food & Beverage
EGGS,Food & Beverage
FROZEN FOODS,Food & Beverage
GROCERY I,Food & Beverage
GROCERY II,Food & Beverage
HARDWARE,Home & Household
HOME AND KITCHEN I,Home & Household
HOME AND KITCHEN II,Home & Household
HOME APPLIANCES,Home & Household
HOME CARE,Home & Household
LADIESWEAR,Apparel
LAWN AND GARDEN,Home & Household
LINGERIE,Apparel
"LIQUOR,WINE,BEER",Food & Beverage
MAGAZINES,Electronics & Leisure
MEATS,Food & Beverage
PERSONAL CARE,Personal Care & Health
PET SUPPLIES,Automotive & Pets
PLAYERS AND ELECTRONICS,Electronics & Leisure
POULTRY,Food & Beverage
PREPARED FOODS,Food & Beverage
PRODUCE,Food & Beverage
SCHOOL AND OFFICE SUPPLIES,Electronics & Leisure
SEAFOOD,Food & Beverage
