family,n_rows,log_log_slope,r_squared,interpretation_warning
AUTOMOTIVE,79310,2.831291683431824,0.01933047679626476,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
BABY CARE,5337,-0.2898841951152739,0.00042851449210101755,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
BEAUTY,67036,-1.4828916314472766,0.01761543159844392,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
BEVERAGES,83605,-3.2505176575097448,0.10532639910553088,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
BOOKS,2769,2.5249415192998264,0.01013966231287522,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
BREAD/BAKERY,83606,0.008850934566638885,6.12754663786852e-07,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
CELEBRATION,51257,0.38847764203534396,0.00033099599772323796,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
CLEANING,83605,-0.24629870345429095,0.0013334899286795432,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
DAIRY,83605,-0.4276179070818907,0.0010609546024860084,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
DELI,83605,-0.0892457368602468,0.00014241137449211294,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
EGGS,83605,-0.5522405390197312,0.0028182441703866745,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
FROZEN FOODS,83578,-2.294876571559243,0.021856275721260032,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
GROCERY I,83604,-1.0903385053878172,0.025576361260734592,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
GROCERY II,79921,3.8582707674116157,0.02239170544614799,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
HARDWARE,47412,1.2319595142464868,0.005241845763738873,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
HOME AND KITCHEN I,59431,-2.0343569940357087,0.023865139576598304,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
HOME AND KITCHEN II,59369,-3.6833655981627733,0.10175919765314945,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
HOME APPLIANCES,24082,2.057178428677339,0.02355460359985262,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
HOME CARE,53735,-0.23346935799295557,0.0013789611570808047,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
LADIESWEAR,36514,-0.3081549045518666,9.149015825182794e-05,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
LAWN AND GARDEN,48392,0.03747596479811255,3.3845886022731975e-06,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
LINGERIE,76344,-3.039401219392895,0.01863943652755473,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
"LIQUOR,WINE,BEER",74690,-2.6271387151318506,0.03016844627914861,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
MAGAZINES,39522,8.580546083856449,0.06477831518228594,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
MEATS,83605,-1.5820707341070146,0.020648329268001864,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
PERSONAL CARE,83602,-0.8875466317542864,0.01601248428770219,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
PET SUPPLIES,41271,-1.3209517636833934,0.013355993747023343,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
PLAYERS AND ELECTRONICS,50118,8.216412757275183,0.07583608434642952,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
POULTRY,83592,-0.8403762820977293,0.004496744278829068,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
PREPARED FOODS,83585,1.4629833081302008,0.009274762323019492,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
PRODUCE,65151,-4.9923913531998725,0.0284225233062414,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
SCHOOL AND OFFICE SUPPLIES,23568,-8.476078242939671,0.21560693536531028,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
SEAFOOD,73332,-2.909921724262451,0.024300901842447598,"NOT an elasticity estimate: price variation is generated by the phase-6 rules, so this slope reflects the scenario construction, not customer behaviour"
