family,real_estimated_uplift_pct,placebo_estimated_uplift_pct,placebo_days,placebo_observed_units,placebo_expected_units_observational,cross_family_observed_units_real,cross_family_expected_units_real,cross_family_observed_units_placebo,cross_family_expected_units_placebo,placebo_calendar_coverage_pct,cross_family_displacement_real_pct,cross_family_displacement_placebo_pct,interpretation_warning
AUTOMOTIVE,27.7557,6.2689,2759.0,28750.0,27054.0,5886645.2317,5090423.7103,21371648.477,19998202.131,75.98,15.6416,6.8678,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
BABY CARE,305.5556,47.3684,44.0,14.0,9.5,23308.838,22407.1761,150738.0971,147505.1064,75.98,4.024,2.1918,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
BEAUTY,76.0556,7.0643,10063.0,45437.0,42439.0,15663432.4535,13465459.4637,67784523.4294,64421594.2079,75.98,16.323,5.2202,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
BEVERAGES,110.14,-5.7592,24478.0,37684761.0,39987714.0,105532154.5864,95596611.8605,194972435.4181,188149319.0835,75.98,10.3932,3.6264,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
BREAD/BAKERY,22.6358,2.3957,28095.0,13109374.863,12802656.3966,67879400.7418,60890800.5213,206057220.5423,198057206.2657,75.98,11.4773,4.0392,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
CELEBRATION,24.2439,23.2234,2879.0,35667.0,28945.0,5899419.4726,5349947.0321,15910988.3594,14905358.5067,75.98,10.2706,6.7468,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
CLEANING,15.73,2.8884,24868.0,25623405.0,24904071.5,100964955.7088,90383826.5966,195546198.8446,189607122.6366,75.98,11.7069,3.1323,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
DAIRY,39.0823,-4.9974,27243.0,16679208.0,17556585.0,88488208.0091,79043626.4232,218465695.5712,211111819.0669,75.98,11.9486,3.4834,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
DELI,19.3111,2.1377,28322.0,7550907.2858,7392871.3192,68595658.9756,61507043.4252,206128389.0544,197831882.6867,75.98,11.5249,4.1937,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
EGGS,22.049,3.4876,21254.0,3727399.0,3601783.5,50537485.6769,44400005.6058,135278224.096,129926351.7021,75.98,13.8232,4.1192,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
FROZEN FOODS,47.4114,19.027,26041.0,3895404.4752,3272705.9187,75537221.0745,67624208.9404,190901483.923,183955285.7402,75.98,11.7014,3.776,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
GROCERY I,28.2995,10.0397,7102.0,16478898.9841,14975407.601,124148203.6246,111885220.0914,37635044.9483,36227731.2941,75.98,10.9603,3.8846,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
GROCERY II,32.8554,7.1239,3582.0,78081.0,72888.5,5994172.0024,5536361.2832,20722217.1557,19837948.1561,75.98,8.2692,4.4575,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
HARDWARE,151.3966,26.5823,99.0,100.0,79.0,179245.6179,164651.5052,330848.3882,316993.3044,75.98,8.8636,4.3708,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
HOME AND KITCHEN I,145.5581,26.8085,13214.0,249074.0,196417.5,15896123.9705,13702221.0204,74880877.391,70942645.4494,75.98,16.0113,5.5513,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
HOME AND KITCHEN II,322.4888,27.0945,16730.0,217371.0,171031.0,36667758.633,31786535.8671,114838315.2915,109992138.114,75.98,15.3563,4.4059,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
HOME APPLIANCES,392.3077,90.4762,45.0,20.0,10.5,84911.2932,84736.0612,180267.7873,158895.5844,75.98,0.2068,13.4505,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
HOME CARE,180.5615,264.6867,25885.0,3027348.0,830123.0,46459947.182,40874233.5683,168754967.9546,161112233.7481,75.98,13.6656,4.7437,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
LADIESWEAR,37.3446,6.6484,391.0,4291.0,4023.5,1142923.0759,1006572.0162,2556417.9573,2451987.0048,75.98,13.5461,4.259,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
LAWN AND GARDEN,130.8139,-11.3384,2465.0,14478.0,16329.5,7079681.064,6577991.0264,19870958.3908,19215104.6492,75.98,7.6268,3.4132,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
LINGERIE,38.7832,6.7657,1829.0,17682.0,16561.5,3608508.2383,3320604.4157,10365432.338,9724630.3683,75.98,8.6702,6.5895,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
"LIQUOR,WINE,BEER",27.0551,13.4006,15828.0,1525710.0,1345416.0,22010999.7871,19357672.6256,91083522.9171,86542431.6376,75.98,13.7069,5.2472,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
MAGAZINES,40.1929,4.1363,122.0,214.0,205.5,77091.9031,72396.2786,375030.7187,363207.1142,75.98,6.486,3.2553,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
MEATS,12.1937,9.3216,14405.0,6325997.1755,5786596.2369,41950344.1532,36391926.1104,98592642.4149,94524742.2059,75.98,15.2738,4.3035,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
PERSONAL CARE,25.0889,1.1413,27501.0,7230628.0,7149038.0,65068187.9648,57593815.6889,199320829.2472,191861677.5731,75.98,12.9777,3.8878,"Placebo assignment is a method-validity diagnostic, not a lower bound: a non-zero placebo uplift indicates residual calendar/selection structure and limits causal interpretation. Do not subtract one from the other."
