family,sourcing_group,primary_supplier_id,secondary_supplier_id
BREAD/BAKERY,FRESH,S01,S02
DAIRY,FRESH,S02,S03
DELI,FRESH,S03,S01
EGGS,FRESH,S01,S02
MEATS,FRESH,S02,S03
POULTRY,FRESH,S03,S01
PREPARED FOODS,FRESH,S01,S02
PRODUCE,FRESH,S02,S03
SEAFOOD,FRESH,S03,S01
BEVERAGES,PACKAGED,S04,S05
FROZEN FOODS,PACKAGED,S05,S06
GROCERY I,PACKAGED,S06,S04
GROCERY II,PACKAGED,S04,S05
"LIQUOR,WINE,BEER",PACKAGED,S05,S06
BABY CARE,HOUSEHOLD,S07,S08
BEAUTY,HOUSEHOLD,S08,S07
CLEANING,HOUSEHOLD,S07,S08
HOME CARE,HOUSEHOLD,S08,S07
PERSONAL CARE,HOUSEHOLD,S07,S08
PET SUPPLIES,HOUSEHOLD,S08,S07
AUTOMOTIVE,HARDLINE,S09,S10
HARDWARE,HARDLINE,S10,S09
HOME AND KITCHEN I,HARDLINE,S09,S10
HOME AND KITCHEN II,HARDLINE,S10,S09
HOME APPLIANCES,HARDLINE,S09,S10
LAWN AND GARDEN,HARDLINE,S10,S09
PLAYERS AND ELECTRONICS,HARDLINE,S09,S10
CELEBRATION,APPAREL,S11,S12
LADIESWEAR,APPAREL,S12,S11
LINGERIE,APPAREL,S11,S12
BOOKS,MEDIA,S13,S14
MAGAZINES,MEDIA,S14,S13
SCHOOL AND OFFICE SUPPLIES,MEDIA,S13,S14
