family,base_price_sim,cost_ratio_sim,target_gross_margin_pct_sim
AUTOMOTIVE,12.5,0.7,0.3
BABY CARE,8.9,0.68,0.32
BEAUTY,6.4,0.55,0.45
BEVERAGES,1.2,0.68,0.32
BOOKS,9.5,0.65,0.35
BREAD/BAKERY,2.1,0.69,0.31
CELEBRATION,4.8,0.6,0.4
CLEANING,2.6,0.7,0.3
DAIRY,1.8,0.72,0.28
DELI,6.2,0.71,0.29
EGGS,2.4,0.75,0.25
FROZEN FOODS,4.3,0.7,0.3
GROCERY I,1.6,0.73,0.27
GROCERY II,3.1,0.71,0.29
HARDWARE,7.8,0.68,0.32
HOME AND KITCHEN I,9.2,0.66,0.34
HOME AND KITCHEN II,11.4,0.66,0.34
HOME APPLIANCES,48.0,0.74,0.26
HOME CARE,3.4,0.71,0.29
LADIESWEAR,14.6,0.48,0.52
LAWN AND GARDEN,8.7,0.67,0.33
LINGERIE,9.8,0.45,0.55
"LIQUOR,WINE,BEER",7.4,0.7,0.3
MAGAZINES,3.2,0.72,0.28
MEATS,5.6,0.76,0.24
PERSONAL CARE,4.1,0.62,0.38
PET SUPPLIES,6.8,0.69,0.31
PLAYERS AND ELECTRONICS,32.0,0.75,0.25
POULTRY,4.2,0.77,0.23
PREPARED FOODS,5.1,0.7,0.3
PRODUCE,1.4,0.74,0.26
SCHOOL AND OFFICE SUPPLIES,2.9,0.58,0.42
SEAFOOD,8.6,0.74,0.26
