store_nbr,type,store_price_index_sim
1,D,0.9803
2,D,0.9738
3,D,0.982
4,D,0.9788
5,D,0.9671
6,D,0.9843
7,D,0.9801
8,D,0.9806
9,B,1.0025
10,C,0.989
11,B,1.0074
12,C,0.9984
13,C,0.9928
14,C,0.9964
15,C,0.9889
16,C,0.9846
17,C,0.9911
18,B,1.0012
19,C,0.9965
20,B,1.0127
21,B,1.0152
22,C,0.9871
23,D,0.9842
24,D,0.9827
25,D,0.9804
26,D,0.969
27,D,0.9744
28,E,0.9512
29,E,0.9534
30,C,0.9936
31,B,1.0149
32,C,0.9993
33,C,0.9866
34,B,1.0074
35,C,0.9894
36,E,0.954
37,D,0.9678
38,D,0.9745
39,B,1.0045
40,C,0.9934
41,D,0.9738
42,D,0.9815
43,E,0.9638
44,A,1.0261
45,A,1.0368
46,A,1.0363
47,A,1.0277
48,A,1.0256
49,A,1.0338
50,A,1.0226
51,A,1.0238
52,A,1.0199
53,D,0.9806
54,C,0.9933
