family,total_sales,avg_sales_per_row,share_pct,avg_sales_no_promo,avg_sales_with_promo,promo_uplift_pct
GROCERY I,343462734.886,3776.9721000043983,31.99,2717.720813421439,4411.003431230883,62.3
BEVERAGES,216954486.0,2385.7931512272366,20.21,1292.272590553389,3215.498307707185,148.8
PRODUCE,122704684.67646,1349.352123212589,11.43,792.1019107829167,2438.2201968245195,207.8
CLEANING,97521289.0,1072.4167436438813,9.08,868.3783263475972,1240.210741482966,42.8
DAIRY,64487709.0,709.1548891528108,6.01,479.81112767235436,933.341720126128,94.5
BREAD/BAKERY,42133945.576369,463.3362538089316,3.92,379.51324925478474,575.4852963068182,51.6
POULTRY,31876004.471721,350.53229163060837,2.97,313.334512833572,485.0061131526594,54.8
MEATS,31086468.4040749,341.84996485522674,2.9,303.08108758763603,467.3016308709242,54.2
PERSONAL CARE,24592051.0,270.43251297615905,2.29,220.87896783986338,338.74669770605004,53.4
DELI,24110322.468767,265.13506717655275,2.25,221.76338163303342,321.66580055411737,45.0
HOME CARE,16022744.0,176.19802938330255,1.49,101.95600876742354,309.44486446616264,203.5
EGGS,15588296.0,171.4205155274039,1.45,154.70393192025844,210.01994105018014,35.8
FROZEN FOODS,14073887.7199105,154.76695390066092,1.31,106.52434938889796,228.99753431021776,115.0
PREPARED FOODS,8799895.1169425,96.77020230648479,0.82,92.48189513408091,114.541036497907,23.9
"LIQUOR,WINE,BEER",7746640.0,85.18782440397642,0.72,76.47493118229502,120.69637774180946,57.8
SEAFOOD,2015431.8828236,22.163190406699215,0.19,19.207319680484066,35.43302657165278,84.5
GROCERY II,1962767.0,21.58404812175596,0.18,21.302750285167818,27.47406513872135,29.0
HOME AND KITCHEN I,1861491.0,20.470341778833465,0.17,16.837739408389446,39.460279413778935,134.4
HOME AND KITCHEN II,1520670.0,16.722420163631565,0.14,10.275239048254392,41.158133164770334,300.6
CELEBRATION,761177.0,8.370469341075042,0.07,7.9459219150755205,19.969168483338525,151.3
LINGERIE,653114.0,7.182128090085334,0.06,7.053474912170075,12.551221804511279,77.9
LADIESWEAR,651159.0,7.16062945368171,0.06,7.0999381051328525,19.097826086956523,169.0
PLAYERS AND ELECTRONICS,562608.0,6.186856690419636,0.05,6.081521196177029,17.363957597173144,185.5
AUTOMOTIVE,554822.0,6.101236034133897,0.05,5.853087094057941,13.241977734119187,126.2
LAWN AND GARDEN,548842.0,6.035475499252222,0.05,5.5107030817494005,16.78686200378072,204.6
PET SUPPLIES,356584.0,3.9212633060614057,0.03,3.507379129069331,15.835244022273175,351.5
BEAUTY,337893.0,3.7157231459487994,0.03,3.0784524987784865,8.291265629216515,169.3
SCHOOL AND OFFICE SUPPLIES,269316.0,2.9615993665874902,0.03,1.0220183697428697,44.52910705476073,4257.0
MAGAZINES,266359.0,2.9290819917304476,0.02,2.9272062306531392,4.0,36.6
HARDWARE,103470.0,1.1378332013723937,0.01,1.1360402625435002,2.371212121212121,108.7
HOME APPLIANCES,41601.0,0.45747558722618104,0.0,0.4568762516780739,1.396551724137931,205.7
BABY CARE,10051.0,0.11052828362804609,0.0,0.10962446222065733,1.6603773584905661,1414.6
BOOKS,6438.0,0.07079704407495381,0.0,0.07079704407495381,,
