scenario,scenario_description,family,elasticity_assumption,price_change_pct,demand_units_sim,fulfilled_units_sim,net_price_sim,unit_cost_sim,revenue_sim,cogs_sim,gross_margin_sim,markdown_value_sim,procurement_spend_sim,avg_inventory_value_sim,demand_fulfillment_rate_pct_sim,simulated_oos_day_rate_pct
S0_baseline,current policy,AUTOMOTIVE,-1.5,0.0,554822.0,540268.13,12.996704269785448,9.193784397388015,7021705.112,4967108.704,2054596.4079999998,81284.37999999979,4989155.039367676,32886.772,97.37683977924452,2.555
S0_baseline,current policy,BABY CARE,-1.5,0.0,10051.0,8887.16,9.455024889841075,6.487789012462924,84028.319,57658.019,26370.300000000003,242.0779999999849,62119.2525267601,1193.13,88.42065466122774,0.82
S0_baseline,current policy,BEAUTY,-1.5,0.0,337893.0,331021.53,6.3917727133942,3.7143623286376566,2115814.383,1229533.901,886280.4819999998,124222.42100000028,1269892.3806667328,8467.642,97.96637692997489,1.923
S0_baseline,current policy,BEVERAGES,-1.5,0.0,216954486.0,213992645.703,1.1262064419984008,0.8619717457627287,240999896.131,184455614.397,56544281.734,30232228.471999966,186115916.3076992,1049979.494,98.63481029979717,1.607
S0_baseline,current policy,BOOKS,-1.5,0.0,6438.0,5736.16,10.299452246799252,6.67654232099523,59079.306,38297.715,20781.591,0.0,40938.807764053345,506.904,89.09847778813295,0.313
S0_baseline,current policy,BREAD/BAKERY,-1.5,0.0,42133945.574,41673014.108,2.0892893989226877,1.522319023783342,87066986.59700002,63439622.155,23627364.442000017,4736760.409999986,63357857.14990711,366792.899,98.9060329866557,1.603
S0_baseline,current policy,CELEBRATION,-1.5,0.0,761177.0,732647.56,5.0462897016950405,3.06438292239723,3697151.837,2245112.671,1452039.1659999997,38390.271000000525,2257185.734424591,20300.165,96.25193089123817,2.105
S0_baseline,current policy,CLEANING,-1.5,0.0,97521289.0,96160410.46,2.4933410996694283,1.9102246180137614,239760703.561,183687983.339,56072720.222,22414201.513000034,184994483.54549408,1123041.669,98.60453183714583,1.668
S0_baseline,current policy,DAIRY,-1.5,0.0,64487709.0,63461344.602,1.7727816557239229,1.3650624744920687,112503107.558,86628700.097,25874407.460999995,7828607.476000008,86582211.42941761,419107.367,98.4084340816015,1.943
S0_baseline,current policy,DELI,-1.5,0.0,24110322.464,23882333.818,6.1206483931996765,4.624989713976369,146175368.109,110455548.25399998,35719819.85500002,9467877.266999986,112999672.42872715,677293.841,99.05439404080796,1.313
S0_baseline,current policy,EGGS,-1.5,0.0,15588296.0,15427769.5,2.400203023645122,1.8893182819460712,37029779.002,29147966.966,7881812.035999998,1757763.8270000063,29104477.549204826,171689.588,98.97021136883724,1.333
S0_baseline,current policy,FROZEN FOODS,-1.5,0.0,14073887.722,13688599.813,4.223213975186726,3.16257847584137,57809886.031,43291271.133,14518614.898000002,4115727.6609999943,44984447.42486477,443677.205,97.26239176686249,1.62
S0_baseline,current policy,GROCERY I,-1.5,0.0,343462734.869,338012801.538,1.4979649001520947,1.2276346464065797,506331312.506,414956226.097,91375086.40899998,61915428.23100002,419078099.0324135,2367916.127,98.41323882397936,1.67
S0_baseline,current policy,GROCERY II,-1.5,0.0,1962767.0,1937092.0,3.2329455451780293,2.3090467773342724,6262512.952,4472836.04,1789676.9119999995,47017.41100000065,4498391.967630386,28248.104,98.69189771378875,1.599
S0_baseline,current policy,HARDWARE,-1.5,0.0,103470.0,101155.7,8.146611787571041,5.5712966941062145,824076.218,563568.417,260507.80099999998,509.5820000000453,584378.6434078217,5117.202,97.76331303759544,1.339
S0_baseline,current policy,HOME AND KITCHEN I,-1.5,0.0,1861491.0,1796998.26,9.290283040674732,6.452829556440416,16694622.459000003,11595723.485,5098898.974000003,855690.9409999967,11817671.64276123,88201.112,96.53542563461227,2.162
S0_baseline,current policy,HOME AND KITCHEN II,-1.5,0.0,1520670.0,1482101.37,11.11718977899602,8.017479935262458,16476802.202,11882717.996000001,4594084.205999998,1533351.0089999998,12462634.131116867,101549.135,97.46370810234963,1.683
S0_baseline,current policy,HOME APPLIANCES,-1.5,0.0,41601.0,40211.37,50.306812426435606,37.13247419821806,2022905.848,1493147.659,529758.189,1257.0289999999957,1513053.0078125,20622.705,96.65962356674119,1.031
S0_baseline,current policy,HOME CARE,-1.5,0.0,16022744.0,15743165.01,3.2599593863368903,2.568048694549,51322078.545,40429214.352,10892864.193000004,5597005.766999995,41848071.81415558,266085.08,98.2551116712593,1.392
S0_baseline,current policy,LADIESWEAR,-1.5,0.0,651159.0,633234.98,15.448936048984535,7.448247233594076,9782806.71,4716490.688,5066316.022000001,20417.959999998788,4942773.151874542,41833.677,97.24736661859853,1.284
S0_baseline,current policy,LAWN AND GARDEN,-1.5,0.0,548842.0,533928.98,9.01173866232172,6.191917389462546,4811628.432,3306044.136,1505584.296,104863.03899999906,3452673.9290952682,21460.002,97.28282092113942,1.439
S0_baseline,current policy,LINGERIE,-1.5,0.0,653114.0,638776.51,10.080867986206943,4.602242425915129,6439421.669999999,2939804.355,3499617.314999999,45001.377000001354,2898362.240524292,28192.206,97.80474924745144,1.833
S0_baseline,current policy,"LIQUOR,WINE,BEER",-1.5,0.0,7746640.0,7617076.19,7.34268233438794,5.43872344212432,55929770.78,41427170.835,14502599.945,3030143.7049999954,42448556.61127567,280992.695,98.32748378651907,1.47
S0_baseline,current policy,MAGAZINES,-1.5,0.0,266359.0,256552.44,3.421926908978141,2.4690562093270287,877903.698,633442.395,244461.30299999996,403.74100000004114,631567.8096294403,4738.543,96.31829222965997,2.704
