family,observed_units,fulfilled_units,unfulfilled_units,receipts,fulfilled_cogs,fulfilled_margin,avg_inventory_units,avg_inventory_value,opening_stock_start,sell_through_pct_sim,simulated_demand_fulfillment_rate_pct,stock_turnover_pa_sim,weeks_of_supply_sim,gmroi_pa_sim,simulated_oos_day_rate_pct,zero_stock_day_rate_pct_sim
AUTOMOTIVE,554822.0,540268.13,14553.87,540460.06,4967108.704,2054596.408,3571.723,32886.772,3331.0,99.352,97.377,32.701,1.593,13.526,2.555,10.071
BABY CARE,10051.0,8887.16,1163.84,9503.89,57658.019,26370.3,183.256,1193.13,0.0,93.511,88.421,10.463,4.969,4.785,0.82,79.214
BEAUTY,337893.0,331021.53,6871.47,331568.19,1229533.901,886280.482,2282.655,8467.642,1813.0,99.292,97.966,31.438,1.662,22.661,1.923,10.285
BEVERAGES,216954486.0,213992645.703,2961840.297,214498021.614,184455614.397,56544281.734,1218050.004,1049979.494,777954.0,99.404,98.635,38.035,1.372,11.66,1.607,8.929
BOOKS,6438.0,5736.16,701.84,6157.08,38297.715,20781.591,75.59,506.904,0.0,93.164,89.098,16.358,3.176,8.876,0.313,92.177
BREAD/BAKERY,42133945.574,41673014.108,460931.466,41639967.388,63439622.155,23627364.442,240714.919,366792.899,255672.0,99.469,98.906,37.447,1.392,13.947,1.603,8.994
CELEBRATION,761177.0,732647.56,28529.44,741485.46,2245112.671,1452039.166,6631.028,20300.165,0.0,98.808,96.252,23.945,2.181,15.487,2.105,28.874
CLEANING,97521289.0,96160410.46,1360878.54,95993397.738,183687983.339,56072720.221,587329.652,1123041.669,662234.0,99.488,98.605,35.413,1.472,10.81,1.668,9.0
DAIRY,64487709.0,63461344.602,1026364.398,63449082.863,86628700.097,25874407.461,307129.3,419107.367,254510.0,99.62,98.408,44.752,1.166,13.367,1.943,9.265
DELI,24110322.464,23882333.818,227988.646,23884015.7,110455548.254,35719819.854,146159.882,677293.841,142371.0,99.4,99.054,35.309,1.475,11.418,1.313,8.678
EGGS,15588296.0,15427769.5,160526.5,15407095.39,29147966.966,7881812.036,90784.896,171689.588,96273.0,99.512,98.97,36.757,1.418,9.939,1.333,8.658
FROZEN FOODS,14073887.722,13688599.813,385287.909,13808973.32,43291271.133,14518614.898,139314.896,443677.205,54804.0,98.736,97.262,21.126,2.453,7.085,1.62,8.962
GROCERY I,343462734.869,338012801.538,5449933.331,337975634.373,414956226.097,91375086.409,1929632.211,2367916.127,1964902.0,99.433,98.413,37.941,1.376,8.355,1.67,8.998
GROCERY II,1962767.0,1937092.0,25675.0,1933479.93,4472836.04,1789676.912,12240.998,28248.104,12730.0,99.532,98.692,34.282,1.523,13.717,1.599,9.049
HARDWARE,103470.0,101155.7,2314.3,101460.26,563568.417,260507.801,915.878,5117.202,717.0,99.0,97.763,23.845,2.182,11.022,1.339,11.519
HOME AND KITCHEN I,1861491.0,1796998.26,64492.74,1821053.55,11595723.485,5098898.974,13637.094,88201.112,0.0,98.679,96.535,28.464,1.829,12.516,2.162,28.692
HOME AND KITCHEN II,1520670.0,1482101.37,38568.63,1505142.36,11882717.996,4594084.206,12631.275,101549.135,0.0,98.469,97.464,25.335,2.054,9.795,1.683,28.291
HOME APPLIANCES,41601.0,40211.37,1389.63,40602.42,1493147.659,529758.189,552.322,20622.705,227.0,98.486,96.66,15.676,3.31,5.562,1.031,13.251
HOME CARE,16022744.0,15743165.01,279578.99,15857753.331,40429214.352,10892864.194,103695.47,266085.08,0.0,99.277,98.255,32.897,1.587,8.863,1.392,28.259
LADIESWEAR,651159.0,633234.98,17924.02,639828.17,4716490.688,5066316.021,5619.339,41833.677,0.0,98.97,97.247,24.41,2.139,26.221,1.284,42.597
LAWN AND GARDEN,548842.0,533928.98,14913.02,539497.59,3306044.136,1505584.296,3469.811,21460.002,1845.0,98.631,97.283,33.354,1.566,15.19,1.439,26.938
LINGERIE,653114.0,638776.51,14337.49,635770.88,2939804.355,3499617.315,6112.45,28192.206,7316.0,99.33,97.805,22.577,2.306,26.876,1.833,9.292
"LIQUOR,WINE,BEER",7746640.0,7617076.19,129563.81,7609383.77,41427170.835,14502599.944,51623.827,280992.695,45807.0,99.502,98.327,31.92,1.633,11.174,1.47,9.162
MAGAZINES,266359.0,256552.44,9806.56,260189.43,633442.395,244461.303,1922.504,4738.543,0.0,98.602,96.318,28.943,1.806,11.17,2.704,40.655
MEATS,31086468.4,30705830.389,380638.011,30632747.402,136907957.921,34847868.12,188076.516,840659.043,239409.0,99.461,98.776,35.26,1.476,8.975,1.742,9.069
PERSONAL CARE,24592051.0,24280827.358,311223.642,24270987.338,64886190.505,30328735.412,153395.908,410360.664,141721.0,99.46,98.734,34.234,1.523,16.002,1.508,8.831
PET SUPPLIES,356584.0,348174.65,8409.35,351729.05,1743697.272,688221.06,2308.568,11538.042,0.0,98.989,97.642,32.72,1.598,12.914,1.726,32.946
PLAYERS AND ELECTRONICS,562608.0,545240.47,17367.53,551221.62,13936370.87,4646291.462,4448.266,113409.485,0.0,98.915,96.913,26.606,1.966,8.87,1.764,28.642
POULTRY,31876004.473,31481758.61,394245.863,31468684.789,106961008.137,26175227.383,183481.528,624357.178,141155.0,99.595,98.763,37.091,1.405,9.077,1.54,8.902
PREPARED FOODS,8799895.117,8727482.572,72412.545,8701733.73,32659449.815,12914397.622,59760.233,223598.749,64531.0,99.558,99.177,31.624,1.65,12.505,1.367,8.697
PRODUCE,122704684.681,120807039.421,1897645.26,121812149.612,133171495.034,33348122.773,634176.792,699371.823,626.0,99.174,98.453,41.227,1.265,10.324,1.689,19.352
SCHOOL AND OFFICE SUPPLIES,269316.0,259252.66,10063.34,267924.64,467732.202,232032.432,3221.643,5789.77,0.0,96.763,96.263,17.491,2.995,8.677,1.286,45.099
SEAFOOD,2015431.883,1998282.598,17149.285,1994401.9,13321812.396,3868111.203,15803.912,105528.406,16849.0,99.355,99.149,27.332,1.906,7.936,0.985,8.838
