store_nbr,observed_units,fulfilled_units,unfulfilled_units,receipts,fulfilled_cogs,fulfilled_margin,avg_inventory_units,avg_inventory_value,opening_stock_start,sell_through_pct_sim,simulated_demand_fulfillment_rate_pct,stock_turnover_pa_sim,weeks_of_supply_sim,gmroi_pa_sim,simulated_oos_day_rate_pct,zero_stock_day_rate_pct_sim
1,14145013.0,13923728.859,221284.01,13968790.0,23464192.0,6494139.0,84823.614,145709.19,68188.0,99.193,98.436,34.865,1.468,9.65,1.798,14.572
2,21557388.0,21243943.446,313445.201,21351874.0,35877450.0,9332218.0,130784.03,224226.73,100002.0,99.031,98.546,34.643,1.484,9.011,1.778,13.735
3,50481910.0,49628884.967,853025.213,49682280.0,80573390.0,21581950.0,265220.501,483012.34,226780.0,99.439,98.31,36.117,1.288,9.674,1.292,12.515
4,18909700.0,18598750.075,310950.304,18596864.0,31099526.0,8427596.0,104069.496,186526.67,95748.0,99.498,98.356,36.098,1.349,9.782,1.684,14.043
5,15592405.0,15380307.598,212096.975,15376301.0,26460694.0,7136845.0,89812.19,157966.66,94544.0,99.415,98.64,36.267,1.407,9.782,1.704,13.226
6,25183680.0,24690423.076,493256.922,24670302.0,41965944.0,11368810.0,126868.083,229013.52,126815.0,99.57,98.041,39.674,1.238,10.748,1.7,14.601
7,26952050.0,26461891.141,490158.451,26518252.0,42989860.0,11625465.0,138102.558,245393.14,112997.0,99.364,98.181,37.93,1.258,10.257,1.859,14.173
8,30494286.0,30103014.063,391272.864,30142636.0,49395452.0,13409128.0,175638.836,298973.06,143161.0,99.396,98.717,35.771,1.406,9.711,1.668,13.638
9,26409442.0,26045514.92,363926.146,26075750.0,44040036.0,12919034.0,156823.66,283247.84,137150.0,99.361,98.622,33.663,1.451,9.875,1.744,13.494
10,9613906.0,9466354.863,147550.874,9467164.0,16456672.0,5033443.0,52442.185,92529.97,55820.0,99.405,98.465,38.507,1.335,11.778,1.571,16.091
11,28325558.0,27917351.505,408206.97,27898168.0,45900690.0,13631795.0,168653.467,276676.44,155387.0,99.514,98.559,35.919,1.456,10.667,1.479,13.557
12,10659218.0,10456440.215,202777.743,10450335.0,17340368.0,5416145.5,54001.289,95509.15,59107.0,99.496,98.098,39.309,1.245,12.278,1.679,16.785
13,10523046.0,10384100.581,138945.236,10384442.0,16729846.0,5212694.0,57278.242,99278.67,56390.0,99.457,98.68,36.485,1.329,11.368,1.544,18.198
14,11387919.0,11274323.164,113595.582,11259350.0,19980720.0,6303622.0,92437.219,151902.98,72509.0,99.492,99.002,28.479,1.976,8.985,1.569,19.479
15,11451270.0,11297048.216,154221.807,11263750.0,18860134.0,5716575.0,58409.502,106748.664,60491.0,99.76,98.653,38.252,1.246,11.594,1.744,17.334
16,10986413.0,10874922.548,111490.008,10894273.0,17741334.0,5463660.0,76698.364,122691.08,64726.0,99.233,98.985,31.308,1.7,9.642,1.371,19.519
17,18030970.0,17883811.539,147157.71,17930404.0,29531718.0,8495676.0,125908.161,205249.11,80512.0,99.294,99.184,31.152,1.697,8.962,1.758,16.962
18,13259376.0,12990458.077,268917.612,13012361.0,20460776.0,6458276.0,70978.254,123547.63,68107.0,99.312,97.972,35.856,1.317,11.318,1.783,14.488
19,13049510.0,12932448.058,117061.779,12943922.0,20552476.0,6527920.0,78935.38,137644.12,61240.0,99.441,99.103,32.328,1.471,10.268,1.672,17.144
20,12920955.0,12799899.079,121055.511,12937210.0,21485186.0,5418768.0,83192.509,139499.33,0.0,98.939,99.063,33.346,1.566,8.41,1.342,50.909
21,9255506.0,9079703.903,175802.011,9144231.0,14666962.0,3690337.2,40219.516,67433.29,0.0,99.294,98.101,47.091,1.068,11.849,1.315,58.511
22,4090201.8,3963919.695,126282.045,4017584.8,6739584.0,1583866.1,20181.261,38191.4,0.0,98.664,96.913,38.207,1.227,8.979,1.035,64.799
23,11651381.0,11552953.04,98427.633,11569365.0,21633310.0,6201454.5,89925.221,162917.7,71524.0,99.245,99.155,28.749,1.876,8.241,1.207,16.582
24,23767732.0,23386164.672,381568.031,23385676.0,38366784.0,10462863.0,151754.06,264228.5,134525.0,99.43,98.395,31.438,1.564,8.573,1.438,13.913
25,11420998.0,11287236.755,133761.118,11279469.0,18910784.0,5492027.0,93434.167,151921.83,85058.0,99.32,98.829,26.95,1.995,7.827,1.333,17.624
26,7755122.0,7682486.328,72635.564,7670808.0,13554126.0,3696059.0,58318.887,101741.8,54040.0,99.452,99.063,28.843,1.829,7.865,1.274,15.807
27,19188022.0,19020932.527,167088.853,19028210.0,31225300.0,8212320.5,117984.223,183958.78,78098.0,99.553,99.129,36.75,1.495,9.665,1.605,14.329
28,18383154.0,18166523.766,216631.064,18174878.0,29576558.0,6703908.0,95877.35,160821.27,64672.0,99.6,98.822,39.818,1.272,9.025,1.844,18.034
29,9725158.0,9536151.19,189006.5,9613023.0,15328988.0,2774571.2,53115.221,88953.766,0.0,99.2,98.057,37.31,1.342,6.753,1.247,53.885
30,7382073.5,7278063.352,104010.312,7272971.0,11802868.0,3699753.5,38405.378,67173.39,34027.0,99.604,98.591,38.042,1.272,11.925,1.515,19.29
31,17746872.0,17541492.513,205380.188,17646862.0,28591456.0,9071860.0,117549.538,193312.86,79209.0,98.959,98.843,32.022,1.615,10.16,1.638,14.473
32,5951796.0,5905684.574,46111.425,5911082.5,9919559.0,3181793.2,48732.048,81091.93,34325.0,99.332,99.225,26.484,1.989,8.495,1.431,22.013
33,14178501.0,13957034.784,221466.51,13938863.0,23434500.0,6842846.0,72676.175,125664.4,69722.0,99.632,98.438,40.376,1.255,11.79,1.688,19.605
34,17090734.0,16885193.767,205540.389,16868756.0,26645216.0,8589422.0,105926.466,167296.9,94637.0,99.539,98.797,34.483,1.512,11.116,1.745,14.32
35,7676679.5,7615601.815,61077.608,7607553.0,12131086.0,3499468.8,50135.124,80403.85,41171.0,99.567,99.204,32.666,1.587,9.423,1.301,21.932
36,15322431.0,15112382.215,210048.876,15278600.0,23945458.0,5489051.0,106836.672,174125.66,0.0,98.912,98.629,29.774,1.704,6.825,1.758,19.355
37,19970636.0,19770181.736,200453.874,19837652.0,31613942.0,8413228.0,119103.724,187779.92,103613.0,99.142,98.996,36.451,1.452,9.7,1.726,13.795
38,18860000.0,18574922.354,285076.906,18528624.0,30064644.0,8410010.0,105522.204,182332.2,96464.0,99.731,98.488,35.7,1.369,9.986,1.639,14.471
39,20252192.0,19975334.527,276858.003,20006658.0,31610426.0,9322090.0,118212.234,195060.83,89327.0,99.4,98.633,35.086,1.426,10.347,1.783,13.431
40,18395758.0,18165280.796,230476.611,18158130.0,28148582.0,7981402.0,93985.631,156739.64,60388.0,99.708,98.747,38.882,1.247,11.025,1.663,18.959
41,14991039.0,14791049.557,199989.58,14890472.0,24345138.0,6524978.0,110105.627,181907.92,55286.0,98.965,98.666,28.976,1.794,7.766,1.969,14.05
42,8945768.0,8715791.17,229976.715,8811215.0,13720424.0,3130675.8,40369.648,65063.914,0.0,98.917,97.429,45.656,1.116,10.418,1.386,60.475
43,16391692.0,16113122.387,278569.824,16141884.0,24511348.0,6489057.5,78645.929,129221.61,63433.0,99.431,98.301,41.068,1.176,10.872,1.564,19.386
44,62087550.0,61484752.815,602800.435,61558052.0,100278110.0,31934140.0,354732.377,572728.5,306325.0,99.386,99.029,37.908,1.39,12.072,1.366,12.989
45,54498012.0,53611873.727,886136.701,53571956.0,90353064.0,29250476.0,264731.683,502808.9,255810.0,99.599,98.374,38.906,1.19,12.595,1.709,13.375
46,41896064.0,40793194.119,1102868.004,40690036.0,72921144.0,23813390.0,192227.422,393973.06,227704.0,99.696,97.368,40.074,1.136,13.087,1.691,13.258
47,50948310.0,50069024.034,879286.022,50044384.0,83033970.0,25997592.0,254915.833,455936.9,247272.0,99.557,98.274,39.43,1.227,12.345,1.704,13.366
48,35933132.0,35544059.667,389070.601,35623260.0,63343732.0,19760274.0,218081.652,405761.2,188344.0,99.253,98.917,33.799,1.479,10.544,1.486,13.453
49,43420096.0,42757565.629,662530.157,42849240.0,69455176.0,22145716.0,235152.977,395408.72,136143.0,99.47,98.474,38.031,1.325,12.126,2.096,13.901
50,28653020.0,28250925.657,402094.97,28238418.0,48561948.0,15693173.0,181297.59,357534.88,161563.0,99.475,98.597,29.407,1.547,9.503,1.544,13.246
51,32911490.0,32489604.99,421884.544,32523384.0,53100884.0,16997156.0,186569.808,302330.16,160454.0,99.406,98.718,38.027,1.384,12.172,1.666,13.429
