family,year,bridge_case,margin_change_sim,volume_effect_sim,price_effect_sim,cost_effect_sim,bridge_residual
AUTOMOTIVE,2014,normal,60021.64,61999.55,17023.52,-19001.43,-0.0
AUTOMOTIVE,2015,normal,76820.97,68421.9,30893.97,-22494.89,-0.0
AUTOMOTIVE,2016,normal,24204.5,31381.13,16150.41,-23327.04,0.0
AUTOMOTIVE,2017,normal,-181269.89,-164800.21,-2750.4,-13719.27,-0.0
BABY CARE,2014,assortment_change,1012.87,1012.87,0.0,0.0,0.0
BABY CARE,2015,normal,2993.26,2836.94,303.65,-147.33,-0.0
BABY CARE,2016,normal,9541.68,9699.78,354.05,-512.15,-0.0
BABY CARE,2017,normal,-5744.32,-5868.04,377.42,-253.7,0.0
BEAUTY,2014,normal,28563.59,25420.41,7169.04,-4025.86,0.0
BEAUTY,2015,normal,27485.76,37498.83,-4971.55,-5041.52,-0.0
BEAUTY,2016,normal,68744.29,85323.31,-9604.92,-6974.11,0.0
BEAUTY,2017,normal,-123082.5,-86717.19,-32521.19,-3844.12,-0.0
BEVERAGES,2014,normal,5869469.76,7198659.35,-651885.25,-677304.35,0.0
BEVERAGES,2015,normal,252078.28,2684243.32,-1593457.52,-838707.53,0.0
BEVERAGES,2016,normal,-3052721.64,4018414.35,-6106764.36,-964371.63,-0.0
BEVERAGES,2017,normal,-3658715.09,-3304441.81,256005.45,-610278.73,0.0
BOOKS,2014,assortment_change,0.0,0.0,0.0,0.0,0.0
BOOKS,2015,assortment_change,0.0,0.0,0.0,0.0,0.0
BOOKS,2016,assortment_change,12636.71,12636.71,0.0,0.0,0.0
BOOKS,2017,normal,-4491.83,-4515.87,113.56,-89.52,0.0
BREAD/BAKERY,2014,normal,555741.35,761644.52,36044.07,-241947.24,-0.0
BREAD/BAKERY,2015,normal,578108.26,988232.22,-127837.59,-282286.37,-0.0
BREAD/BAKERY,2016,normal,-628744.84,272395.84,-591237.51,-309903.17,0.0
BREAD/BAKERY,2017,normal,-1816234.18,-1696332.24,48845.81,-168747.76,-0.0
CELEBRATION,2014,assortment_change,255494.82,255494.82,0.0,0.0,0.0
CELEBRATION,2015,normal,79359.39,71424.48,19077.89,-11142.98,-0.0
CELEBRATION,2016,normal,194976.77,208105.78,-159.97,-12969.04,-0.0
CELEBRATION,2017,normal,-197971.81,-212969.19,23071.15,-8073.78,0.0
CLEANING,2014,normal,460504.37,1510392.28,-336790.84,-713097.07,-0.0
CLEANING,2015,normal,618234.79,2048000.16,-611233.75,-818531.62,0.0
CLEANING,2016,normal,-5523894.96,249537.56,-4917965.05,-855467.47,-0.0
CLEANING,2017,normal,-4668676.4,-2955091.02,-1233757.26,-479828.12,-0.0
DAIRY,2014,normal,2397674.69,2834165.13,-106192.6,-330297.84,-0.0
DAIRY,2015,normal,30577.49,667124.83,-242566.19,-393981.15,-0.0
DAIRY,2016,normal,-224916.49,894237.92,-668434.58,-450719.83,0.0
DAIRY,2017,normal,-2966270.03,-1994735.63,-721925.59,-249608.81,-0.0
DELI,2014,normal,375729.97,1197774.33,-411644.14,-410400.21,0.0
DELI,2015,normal,1163662.49,2029397.3,-349185.34,-516549.46,-0.0
DELI,2016,normal,-1163597.75,-188083.82,-444961.76,-530552.18,0.0
DELI,2017,normal,-2841349.64,-2440345.28,-108943.49,-292060.87,-0.0
EGGS,2014,normal,205238.96,409144.22,-82923.61,-120981.64,0.0
EGGS,2015,normal,-62344.23,118010.32,-53887.61,-126466.94,0.0
EGGS,2016,normal,2969.7,38033.12,104233.4,-139296.82,-0.0
EGGS,2017,normal,-677059.19,-578841.9,-24387.89,-73829.4,0.0
FROZEN FOODS,2014,normal,-35033.28,519081.51,-390189.53,-163925.26,-0.0
FROZEN FOODS,2015,normal,449850.95,707150.53,-39910.03,-217389.55,-0.0
FROZEN FOODS,2016,normal,-484179.04,31653.31,-301460.86,-214371.49,0.0
FROZEN FOODS,2017,normal,-1527757.11,-1624962.58,171318.16,-74112.69,-0.0
GROCERY I,2014,normal,-638628.99,2905333.44,-2031040.05,-1512922.39,-0.0
GROCERY I,2015,normal,-133521.72,4001562.73,-2323661.25,-1811423.21,0.0
GROCERY I,2016,normal,-13429752.19,3213259.81,-14593597.27,-2049414.73,0.0
GROCERY I,2017,normal,-4856517.29,-3728378.36,-1457.24,-1126681.69,-0.0
GROCERY II,2014,normal,34502.9,25697.22,26619.72,-17814.03,0.0
GROCERY II,2015,normal,53099.99,50248.27,23028.26,-20176.54,-0.0
GROCERY II,2016,normal,-43536.67,-43221.44,18387.66,-18702.89,0.0
GROCERY II,2017,normal,-101387.94,-88549.63,-738.56,-12099.74,-0.0
HARDWARE,2014,normal,12886.11,11993.15,3250.74,-2357.78,-0.0
HARDWARE,2015,normal,1686.04,727.54,3431.58,-2473.08,0.0
HARDWARE,2016,normal,4956.55,4173.49,3274.53,-2491.47,-0.0
HARDWARE,2017,normal,-15907.45,-17091.78,2788.26,-1603.93,0.0
HOME AND KITCHEN I,2014,assortment_change,930305.62,930305.62,0.0,0.0,0.0
HOME AND KITCHEN I,2015,normal,832705.6,809151.26,84510.36,-60956.03,0.0
HOME AND KITCHEN I,2016,normal,-152905.69,54549.68,-136923.69,-70531.69,-0.0
HOME AND KITCHEN I,2017,normal,-814628.93,-452208.7,-322421.21,-39999.01,0.0
HOME AND KITCHEN II,2014,assortment_change,496431.63,496431.63,0.0,0.0,0.0
HOME AND KITCHEN II,2015,normal,1255930.49,1421795.04,-93946.66,-71917.89,0.0
HOME AND KITCHEN II,2016,normal,-270775.81,117821.74,-314474.52,-74123.03,-0.0
HOME AND KITCHEN II,2017,normal,-617882.14,-441966.53,-127715.34,-48200.27,-0.0
HOME APPLIANCES,2014,normal,-1590.3,-2019.73,6197.74,-5768.31,-0.0
HOME APPLIANCES,2015,normal,1748.03,-649.31,8876.28,-6478.94,0.0
HOME APPLIANCES,2016,normal,-32403.62,-33560.81,5657.37,-4500.19,0.0
HOME APPLIANCES,2017,normal,7123.2,6224.65,5567.23,-4668.68,0.0
HOME CARE,2014,assortment_change,2796064.35,2796064.35,0.0,0.0,0.0
HOME CARE,2015,normal,537955.69,619781.95,109056.59,-190882.85,0.0
HOME CARE,2016,normal,250448.63,1896910.93,-1411318.56,-235143.73,0.0
HOME CARE,2017,normal,-2406157.53,-1189694.63,-1060977.73,-155485.17,-0.0
LADIESWEAR,2014,assortment_change,1070186.28,1070186.28,0.0,0.0,0.0
LADIESWEAR,2015,normal,-11273.35,-32077.57,41828.73,-21024.51,-0.0
LADIESWEAR,2016,normal,695212.19,662818.87,58013.18,-25619.85,0.0
LADIESWEAR,2017,normal,-571033.42,-585003.4,31493.61,-17523.63,0.0
