family,price_change_pct,elasticity_assumption,baseline_units_sim,baseline_revenue_sim,baseline_margin_sim,new_price_sim,volume_ratio_sim,new_units_sim,new_revenue_sim,new_cogs_sim,new_margin_sim,revenue_change_vs_baseline_pct,margin_change_vs_baseline_pct,below_cost_flag
AUTOMOTIVE,-20.0,-1.0,540268.13,7021705.112,2054596.408,10.397363415828359,1.25,675335.1625,7021705.112,6208885.879999999,812819.2320000008,0.0,-60.438983109523626,False
AUTOMOTIVE,-20.0,-1.5,540268.13,7021705.112,2054596.408,10.397363415828359,1.3975424859373684,755047.6654729333,7850504.974194886,6941745.4461093,908759.5280855866,11.803398874989469,-55.76943848693876,False
AUTOMOTIVE,-20.0,-2.0,540268.13,7021705.112,2054596.408,10.397363415828359,1.5624999999999998,844168.9531249999,8777131.389999999,7761107.349999999,1016024.04,24.99999999999998,-50.548728886904584,False
AUTOMOTIVE,-15.0,-1.0,540268.13,7021705.112,2054596.408,11.04719862931763,1.1764705882352942,635609.5647058823,7021705.112,5843657.298823529,1178047.8131764708,0.0,-42.662811606722585,False
AUTOMOTIVE,-15.0,-1.5,540268.13,7021705.112,2054596.408,11.04719862931763,1.2760615165803304,689415.3693278191,7616108.523068791,6338336.265845599,1277772.2572231926,8.465228909328083,-37.80908735905896,False
AUTOMOTIVE,-15.0,-2.0,540268.13,7021705.112,2054596.408,11.04719862931763,1.384083044982699,747775.9584775087,8260829.543529412,6874890.939792388,1385938.6037370237,17.647058823529417,-32.54448424320307,False
AUTOMOTIVE,-10.0,-1.0,540268.13,7021705.112,2054596.408,11.697033842806905,1.1111111111111112,600297.9222222222,7021705.112,5519009.671111111,1502695.4408888891,0.0,-26.8617702708994,False
AUTOMOTIVE,-10.0,-1.5,540268.13,7021705.112,2054596.408,11.697033842806905,1.1712139482105108,632769.5696296096,7401527.070655904,5817546.996402633,1583980.0742532704,5.409255338946006,-22.905536674467385,False
AUTOMOTIVE,-10.0,-2.0,540268.13,7021705.112,2054596.408,11.697033842806905,1.2345679012345678,666997.6913580246,7801894.568888888,6132232.967901234,1669661.6009876542,11.111111111111093,-18.73530030099935,False
AUTOMOTIVE,-5.0,-1.0,540268.13,7021705.112,2054596.408,12.346869056296175,1.0526315789473684,568703.294736842,7021705.111999998,5228535.4778947355,1793169.6341052623,-2.220446049250313e-14,-12.723996444110286,False
AUTOMOTIVE,-5.0,-1.5,540268.13,7021705.112,2054596.408,12.346869056296175,1.0799772127212148,583477.2691595029,7204117.439637661,5364364.213429205,1839753.2262084559,2.5978352085153977,-10.456709695150224,False
AUTOMOTIVE,-5.0,-2.0,540268.13,7021705.112,2054596.408,12.346869056296175,1.10803324099723,598635.0470914128,7391268.538947368,5503721.555678671,1887546.9832686968,5.263157894736836,-8.13052257274769,False
AUTOMOTIVE,-2.0,-1.0,540268.13,7021705.112,2054596.408,12.736770184389739,1.0204081632653061,551294.0102040817,7021705.112,5068478.269387755,1953226.8426122451,0.0,-4.933794539552949,False
AUTOMOTIVE,-2.0,-1.5,540268.13,7021705.112,2054596.408,12.736770184389739,1.0307679026042966,556891.0472040455,7092993.285982065,5119936.220829626,1973057.0651524393,1.0152544552210596,-3.968630653206162,False
AUTOMOTIVE,-2.0,-2.0,540268.13,7021705.112,2054596.408,12.736770184389739,1.0412328196584757,562544.908371512,7165005.216326531,5171916.601416077,1993088.6149104536,2.0408163265306145,-2.9936678975030384,False
AUTOMOTIVE,2.0,-1.0,540268.13,7021705.112,2054596.408,13.256638355181158,0.9803921568627451,529674.6372549019,7021705.112,4869714.415686274,2151990.696313726,0.0,4.740312400746971,False
AUTOMOTIVE,2.0,-1.5,540268.13,7021705.112,2054596.408,13.256638355181158,0.9707328852712493,524456.0406550025,6952524.064153554,4821735.763689856,2130788.300463698,-0.98524570233256,3.7083629742088897,False
AUTOMOTIVE,2.0,-2.0,540268.13,7021705.112,2054596.408,13.256638355181158,0.9611687812379853,519288.8600538254,6884024.6196078425,4774229.819300269,2109794.8003075738,-1.9607843137254943,2.686580785046022,False
AUTOMOTIVE,5.0,-1.0,540268.13,7021705.112,2054596.408,13.646539483274722,0.9523809523809523,514541.0761904762,7021705.112000001,4730579.718095237,2291125.3939047633,2.220446049250313e-14,11.512187258956953,False
AUTOMOTIVE,5.0,-1.5,540268.13,7021705.112,2054596.408,13.646539483274722,0.9294286409033649,502140.67378930247,6852482.531023889,4616573.091977994,2235909.439045895,-2.4099927051466685,8.824751680666566,False
AUTOMOTIVE,5.0,-2.0,540268.13,7021705.112,2054596.408,13.646539483274722,0.9070294784580498,490039.12018140586,6687338.201904762,4505314.01723356,2182024.1846712017,-4.761904761904767,6.202083103768463,False
