family,observed_units,fulfilled_units_sim,demand_revenue_sim,revenue_sim,unfulfilled_revenue_sim,list_revenue_sim,markdown_value_sim,cogs_sim,gross_margin_sim,avg_inventory_value_sim,gross_margin_pct_sim,markdown_pct_sim,price_realisation_pct_sim,revenue_shortfall_pct_sim,avg_list_price_sim,avg_net_price_sim,avg_unit_cost_sim
AUTOMOTIVE,554822.0,540268.13,7209298.384,7021705.112,187593.272,7102989.492,81284.38,4967108.704,2054596.408,609.014,29.261,1.144,98.856,2.602,13.147,12.997,9.194
BABY CARE,10051.0,8887.16,94873.428,84028.319,10845.109,84270.397,242.077,57658.019,26370.3,22.095,31.383,0.287,99.713,11.431,9.482,9.455,6.488
BEAUTY,337893.0,331021.53,2159481.697,2115814.383,43667.315,2240036.804,124222.421,1229533.901,886280.482,156.808,41.888,5.546,94.454,2.022,6.767,6.392,3.714
BEVERAGES,216954486.0,213992645.703,244331394.747,240999896.131,3331498.616,271232124.603,30232228.472,184455614.397,56544281.734,19444.065,23.462,11.146,88.854,1.364,1.267,1.126,0.862
BOOKS,6438.0,5736.16,66228.985,59079.306,7149.68,59079.306,0.0,38297.715,20781.591,9.387,35.176,0.0,100.0,10.795,10.299,10.299,6.677
BREAD/BAKERY,42133945.574,41673014.108,88002967.515,87066986.597,935980.918,91803747.007,4736760.41,63439622.155,23627364.442,6792.461,27.137,5.16,94.84,1.064,2.203,2.089,1.522
CELEBRATION,761177.0,732647.56,3840091.543,3697151.837,142939.706,3735542.108,38390.271,2245112.671,1452039.166,375.929,39.275,1.028,98.972,3.722,5.099,5.046,3.064
CLEANING,97521289.0,96160410.46,243139476.856,239760703.561,3378773.295,262174905.074,22414201.513,183687983.339,56072720.221,20797.068,23.387,8.549,91.451,1.39,2.726,2.493,1.91
DAIRY,64487709.0,63461344.602,114324959.416,112503107.558,1821851.858,120331715.034,7828607.476,86628700.097,25874407.461,7761.248,22.999,6.506,93.494,1.594,1.896,1.773,1.365
DELI,24110322.464,23882333.818,147589432.486,146175368.109,1414064.378,155643245.376,9467877.267,110455548.254,35719819.854,12542.479,24.436,6.083,93.917,0.958,6.517,6.121,4.625
EGGS,15588296.0,15427769.5,37421699.2,37029779.002,391920.198,38787542.829,1757763.827,29147966.966,7881812.036,3179.437,21.285,4.532,95.468,1.047,2.514,2.4,1.889
FROZEN FOODS,14073887.722,13688599.813,59413665.24,57809886.031,1603779.209,61925613.692,4115727.661,43291271.133,14518614.898,8216.245,25.114,6.646,93.354,2.699,4.524,4.223,3.163
GROCERY I,343462734.869,338012801.538,514410514.596,506331312.506,8079202.09,568246740.737,61915428.231,414956226.097,91375086.409,43850.299,18.047,10.896,89.104,1.571,1.681,1.498,1.228
GROCERY II,1962767.0,1937092.0,6344947.955,6262512.952,82435.003,6309530.363,47017.411,4472836.04,1789676.912,523.113,28.578,0.745,99.255,1.299,3.257,3.233,2.309
HARDWARE,103470.0,101155.7,842770.484,824076.218,18694.266,824585.8,509.582,563568.417,260507.801,94.763,31.612,0.062,99.938,2.218,8.152,8.147,5.571
HOME AND KITCHEN I,1861491.0,1796998.26,17281846.957,16694622.459,587224.499,17550313.4,855690.942,11595723.485,5098898.974,1633.354,30.542,4.876,95.124,3.398,9.766,9.29,6.453
HOME AND KITCHEN II,1520670.0,1482101.37,16912215.905,16476802.202,435413.703,18010153.211,1533351.008,11882717.996,4594084.206,1880.54,27.882,8.514,91.486,2.575,12.152,11.117,8.017
HOME APPLIANCES,41601.0,40211.37,2091769.359,2022905.848,68863.511,2024162.877,1257.029,1493147.659,529758.189,381.902,26.188,0.062,99.938,3.292,50.338,50.307,37.132
