store_nbr,observed_units,fulfilled_units_sim,demand_revenue_sim,revenue_sim,unfulfilled_revenue_sim,list_revenue_sim,markdown_value_sim,cogs_sim,gross_margin_sim,avg_inventory_value_sim,gross_margin_pct_sim,markdown_pct_sim,price_realisation_pct_sim,revenue_shortfall_pct_sim,avg_list_price_sim,avg_net_price_sim,avg_unit_cost_sim,price_position_vs_chain_pct_sim
1,14145012.869,13923728.859,30453718.486,29958330.163,495388.323,32151622.948,2193292.785,23464191.05,6494139.112,4415.43,21.677,6.822,93.178,1.627,2.309,2.152,1.685,-1.423
2,21557388.647,21243943.446,45888387.767,45209667.484,678720.283,48869784.982,3660117.498,35877449.853,9332217.631,6794.75,20.642,7.49,92.51,1.479,2.3,2.128,1.689,-2.549
3,50481910.18,49628884.967,103646798.799,102155339.781,1491459.018,110773080.729,8617740.948,80573389.809,21581949.972,14636.737,21.127,7.78,92.22,1.439,2.232,2.058,1.624,-2.138
4,18909700.379,18598750.075,40143341.234,39527121.583,616219.651,42563392.373,3036270.79,31099525.414,8427596.169,5652.323,21.321,7.134,92.866,1.535,2.289,2.125,1.672,-1.734
5,15592404.573,15380307.598,34121372.424,33597538.92,523833.504,36061162.019,2463623.099,26460694.045,7136844.875,4786.869,21.242,6.832,93.168,1.535,2.345,2.184,1.72,-2.66
6,25183679.998,24690423.076,54298654.052,53334754.977,963899.075,57833886.146,4499131.169,41965944.008,11368810.97,6939.803,21.316,7.779,92.221,1.775,2.342,2.16,1.7,-1.827
7,26952049.592,26461891.141,55535980.8,54615324.788,920656.013,58692934.588,4077609.801,42989860.05,11625464.737,7436.156,21.286,6.947,93.053,1.658,2.218,2.064,1.625,-1.525
8,30494286.927,30103014.063,63601294.045,62804581.862,796712.183,67935701.251,5131119.389,49395453.972,13409127.89,9059.79,21.351,7.553,92.447,1.253,2.257,2.086,1.641,-2.085
9,26409441.066,26045514.92,57724774.111,56959068.553,765705.559,62014040.789,5054972.236,44040034.862,12919033.691,8583.268,22.681,8.151,91.849,1.326,2.381,2.187,1.691,0.114
10,9613905.737,9466354.863,21829836.95,21490115.354,339721.596,22831784.574,1341669.22,16456672.186,5033443.168,2803.938,23.422,5.876,94.124,1.556,2.412,2.27,1.738,1.184
11,28325558.475,27917351.505,60367729.425,59532484.7,835244.725,64794917.276,5262432.577,45900689.243,13631795.457,8384.134,22.898,8.122,91.878,1.384,2.321,2.132,1.644,0.772
12,10659217.958,10456440.215,23164518.663,22756513.862,408004.802,24342495.328,1585981.467,17340368.523,5416145.338,2894.217,23.8,6.515,93.485,1.761,2.328,2.176,1.658,1.682
13,10523045.817,10384100.581,22228356.683,21942540.174,285816.508,23392497.39,1449957.216,16729846.317,5212693.857,3008.445,23.756,6.198,93.802,1.286,2.253,2.113,1.611,1.683
14,11387918.746,11274323.164,26602159.192,26284341.734,317817.457,28023884.476,1739542.741,19980719.556,6303622.179,4603.121,23.982,6.207,93.793,1.195,2.486,2.331,1.772,1.642
15,11451270.023,11297048.216,24923183.618,24576709.529,346474.089,26297374.483,1720664.954,18860134.313,5716575.216,3234.808,23.26,6.543,93.457,1.39,2.328,2.175,1.669,0.699
16,10986412.556,10874922.548,23471897.938,23204994.67,266903.268,24626550.092,1421555.421,17741334.741,5463659.929,3717.911,23.545,5.772,94.228,1.137,2.265,2.134,1.631,0.849
17,18030969.25,17883811.539,38392102.277,38027394.357,364707.919,41038568.412,3011174.054,29531718.09,8495676.267,6219.67,22.341,7.337,92.663,0.95,2.295,2.126,1.651,0.192
18,13259375.69,12990458.077,27488055.497,26919051.554,569003.943,28834533.945,1915482.39,20460775.618,6458275.936,3743.868,23.991,6.643,93.357,2.07,2.22,2.072,1.575,1.282
19,13049509.838,12932448.058,27367036.405,27080396.275,286640.13,28911845.943,1831449.668,20552476.479,6527919.796,4171.034,24.106,6.335,93.665,1.047,2.236,2.094,1.589,2.025
20,12920954.59,12799899.079,27208998.165,26903954.985,305043.18,30604242.787,3700287.801,21485186.834,5418768.151,4227.252,20.141,12.091,87.909,1.121,2.391,2.102,1.679,-1.377
21,9255505.914,9079703.903,18761967.731,18357298.95,404668.781,21040254.162,2682955.212,14666961.607,3690337.342,2043.433,20.103,12.752,87.248,2.157,2.317,2.022,1.615,-1.548
