family,breadth_decile,promo_days,observed_units,expected_units_observational,median_promotion_breadth,estimated_observational_uplift_pct
AUTOMOTIVE,1,279,3975.0,2905.5,1.0,36.8095
AUTOMOTIVE,2,278,5348.0,3361.5,1.0,59.0956
AUTOMOTIVE,3,278,2483.0,2165.5,1.0,14.6617
AUTOMOTIVE,4,278,2307.0,2164.0,1.0,6.6081
AUTOMOTIVE,5,278,3819.0,3371.5,1.0,13.273
AUTOMOTIVE,6,278,2214.0,1843.5,1.0,20.0976
AUTOMOTIVE,7,278,3088.0,2615.0,1.0,18.088
AUTOMOTIVE,8,278,4050.0,3264.0,2.0,24.0809
AUTOMOTIVE,9,278,3774.0,3013.0,2.0,25.2572
AUTOMOTIVE,10,279,4987.0,3510.5,4.0,42.0595
BABY CARE,1,5,6.0,3.0,1.0,100.0
BABY CARE,2,4,5.0,0.5,1.0,900.0
BABY CARE,3,4,6.0,0.0,1.0,inf
BABY CARE,4,5,7.0,2.0,1.0,250.0
BABY CARE,5,4,6.0,0.0,1.0,inf
BABY CARE,6,4,4.0,0.5,1.0,700.0
BABY CARE,7,5,15.0,4.0,1.0,275.0
BABY CARE,8,4,10.0,2.0,1.0,400.0
BABY CARE,9,4,7.0,3.0,1.0,133.3333
BABY CARE,10,5,7.0,3.0,1.0,133.3333
BEAUTY,1,1032,8949.0,6012.5,1.0,48.8399
BEAUTY,2,1032,8725.0,5626.0,1.0,55.0835
BEAUTY,3,1032,7697.0,6039.5,1.0,27.4443
BEAUTY,4,1032,9180.0,4931.5,1.0,86.1503
BEAUTY,5,1032,8209.0,4039.0,1.0,103.2434
BEAUTY,6,1032,7859.0,4476.5,1.0,75.5613
BEAUTY,7,1032,7549.0,3720.5,1.0,102.9028
BEAUTY,8,1032,7704.0,4527.5,1.0,70.1601
BEAUTY,9,1032,10147.0,5231.5,2.0,93.9597
BEAUTY,10,1032,8125.0,3189.5,2.0,154.7421
BEVERAGES,1,4615,10261849.0,6882460.5,1.0,49.1015
BEVERAGES,2,4615,11591330.0,6803199.5,2.0,70.3806
BEVERAGES,3,4615,13708831.0,7279774.0,3.0,88.314
BEVERAGES,4,4614,14153082.0,6711508.0,5.0,110.8778
BEVERAGES,5,4615,14049150.0,6605805.0,9.0,112.6788
BEVERAGES,6,4615,13565389.0,6150971.5,14.0,120.5406
BEVERAGES,7,4614,14228707.0,6153832.5,19.0,131.217
BEVERAGES,8,4615,15855152.0,6670396.0,26.0,137.6943
BEVERAGES,9,4615,18418538.0,7875110.0,34.0,133.8829
BEVERAGES,10,4615,21054563.0,8766350.5,51.0,140.1748
BREAD/BAKERY,1,3541,2093572.3654,1793553.8066,1.0,16.7276
BREAD/BAKERY,2,3541,2060974.3714,1756542.0676,1.0,17.3313
BREAD/BAKERY,3,3540,2108329.6927,1728032.1749,1.0,22.0075
BREAD/BAKERY,4,3541,2279151.7818,1831155.067,2.0,24.4653
BREAD/BAKERY,5,3540,2001659.7655,1637944.6426,3.0,22.2056
BREAD/BAKERY,6,3541,1624122.7609,1364553.3937,5.0,19.0223
BREAD/BAKERY,7,3540,1963669.2134,1607931.7394,6.0,22.1239
BREAD/BAKERY,8,3541,2117278.4774,1631918.8647,8.0,29.7417
BREAD/BAKERY,9,3540,2165938.6917,1689751.8263,11.0,28.1809
BREAD/BAKERY,10,3541,1942676.9671,1558483.0868,39.0,24.6518
CELEBRATION,1,288,4590.0,4028.5,1.0,13.9382
CELEBRATION,2,288,6251.0,5648.0,1.0,10.6763
CELEBRATION,3,288,5340.0,4705.5,1.0,13.4842
CELEBRATION,4,288,6262.0,4496.0,1.0,39.2794
CELEBRATION,5,288,6684.0,3207.0,1.0,108.4191
CELEBRATION,6,287,5917.0,5462.0,1.0,8.3303
CELEBRATION,7,288,4537.0,4709.5,1.0,-3.6628
CELEBRATION,8,288,4903.0,4259.5,2.0,15.1074
CELEBRATION,9,288,4090.0,3575.5,4.0,14.3896
CELEBRATION,10,288,8303.0,5687.0,7.0,45.9996
CLEANING,1,4524,5081451.0,4479695.5,1.0,13.433
CLEANING,2,4524,5253640.0,4698959.0,2.0,11.8043
CLEANING,3,4523,5404501.0,4813538.5,2.0,12.2771
CLEANING,4,4524,5934445.0,5223945.0,3.0,13.6008
CLEANING,5,4524,5848762.0,5183111.5,6.0,12.8427
CLEANING,6,4523,5157899.0,4534806.5,11.0,13.7402
CLEANING,7,4524,5126678.0,4464872.5,16.0,14.8225
CLEANING,8,4523,5299354.0,4422149.5,21.0,19.8366
CLEANING,9,4524,5704634.0,4737526.5,28.0,20.4138
CLEANING,10,4524,6711245.0,5417371.0,41.0,23.8838
DAIRY,1,4153,3380516.0,2776713.5,1.0,21.7452
DAIRY,2,4153,3241336.0,2499549.0,1.0,29.6768
DAIRY,3,4152,3771267.0,2915121.0,2.0,29.3691
DAIRY,4,4153,4099526.0,3057315.5,3.0,34.0891
DAIRY,5,4153,4153114.0,2987921.5,4.0,38.9968
DAIRY,6,4152,3634557.0,2572981.5,8.0,41.2586
DAIRY,7,4153,3437611.0,2432318.5,13.0,41.3306
DAIRY,8,4152,4190307.0,2944196.5,19.0,42.3243
DAIRY,9,4153,5146548.0,3424501.5,27.0,50.286
DAIRY,10,4153,3370463.0,2017086.5,76.0,67.0956
DELI,1,3591,1132569.4129,1014453.3764,1.0,11.6433
DELI,2,3590,1064083.5214,984326.3534,1.0,8.1027
DELI,3,3591,1167569.5343,1028014.1124,2.0,13.5752
DELI,4,3590,1145382.102,1010349.2961,3.0,13.365
DELI,5,3591,1027010.1629,895317.1027,5.0,14.7091
DELI,6,3590,1011407.6518,871028.1989,7.0,16.1165
DELI,7,3590,1206001.2079,1023331.8605,8.0,17.8505
DELI,8,3591,1391773.6831,1127868.7994,12.0,23.3985
DELI,9,3590,753129.6452,548201.7473,45.0,37.3818
DELI,10,3591,1495850.3161,1047583.8607,59.0,42.7905
EGGS,1,2484,528202.0,468192.0,1.0,12.8174
EGGS,2,2483,520719.0,485785.5,1.0,7.1911
EGGS,3,2483,437053.0,425390.5,1.0,2.7416
EGGS,4,2483,444840.0,393022.0,1.0,13.1845
EGGS,5,2483,470785.0,418060.0,1.0,12.6118
EGGS,6,2483,523336.0,492650.5,2.0,6.2287
EGGS,7,2483,520402.0,434169.0,3.0,19.8616
EGGS,8,2483,427332.0,196275.0,12.0,117.7211
EGGS,9,2483,621127.0,303071.5,19.0,104.944
EGGS,10,2483,681912.0,624063.0,28.0,9.2697
FROZEN FOODS,1,3215,527714.6991,458750.3535,1.0,15.0331
FROZEN FOODS,2,3215,648012.511,460656.7236,1.0,40.6715
FROZEN FOODS,3,3214,390088.3374,303983.553,1.0,28.3255
FROZEN FOODS,4,3215,581821.4703,481306.0884,1.0,20.8839
FROZEN FOODS,5,3215,651726.5402,469254.7343,2.0,38.8854
FROZEN FOODS,6,3214,540401.4463,378159.0368,2.0,42.9032
FROZEN FOODS,7,3215,855920.6021,526760.5903,3.0,62.4876
FROZEN FOODS,8,3214,735782.0923,521817.7002,3.0,41.0037
FROZEN FOODS,9,3215,883611.3561,532269.0201,5.0,66.0084
FROZEN FOODS,10,3215,699261.0983,286198.663,14.0,144.3272
GROCERY I,1,5019,16154632.0922,13789829.8113,1.0,17.1489
GROCERY I,2,5018,18087061.2629,15587125.6381,4.0,16.0385
GROCERY I,3,5018,19314216.1724,16324192.5646,6.0,18.3165
GROCERY I,4,5018,22488351.0034,18515397.286,10.0,21.4576
GROCERY I,5,5019,23789410.5339,18975773.607,16.0,25.3673
GROCERY I,6,5018,21648020.4667,16638364.493,28.0,30.1091
