family,promo_days,observed_units_on_promo,baseline_units_observational,avg_list_price_sim,avg_promo_price_sim,avg_unit_cost_sim,gm_promotion_scenario_sim,gm_baseline_scenario_sim,incremental_gross_margin_sim,markdown_investment_sim,promo_roi_sim,list_margin_rate_sim,discount_depth_pct_sim,break_even_uplift_pct_sim,estimated_observational_uplift_pct,uplift_gap_vs_break_even_pct_points
AUTOMOTIVE,2782,36045.0,28214.0,13.614687687237131,11.530292443624564,9.36057903907851,78207.31966686249,120025.42139914732,-41818.101732284835,75132.02655601499,-0.5565948856857625,0.3124646518440938,15.30990127350883,96.0678,27.7557,-68.3121
BABY CARE,44,73.0,18.0,9.501360854057417,6.650952541664855,6.511892005188824,10.151419162750287,53.81043927963467,-43.659020116884385,208.07980680465698,-0.20981863058855582,0.31463586056643494,30.00000059123463,2049.7608,305.5556,-1744.2052
BEAUTY,10320,84144.0,47794.0,6.942067310137534,5.5584808335000035,3.797218529885429,148199.65527534476,150304.90260336912,-2105.2473280243576,116420.50049018837,-0.018083132430802278,0.4530132941320905,19.930467608936496,78.5565,76.0556,-2.5009
BEVERAGES,46148,146886591.0,69899407.5,1.2801300292061544,1.0984937137640516,0.8703132408795289,33516651.794775475,28645950.68758404,4870701.107191436,26679939.177091137,0.18256042770043823,0.32013684467722764,14.188895760436203,79.602,110.14,30.538
BREAD/BAKERY,35406,20357374.08718109,16599866.669677734,2.2390288274911354,2.0261530332417848,1.5460685557677756,9773259.301387269,11503048.117991427,-1729788.816604158,4333592.177639824,-0.39915819156435745,0.30949144701269077,9.507505738007005,44.3413,22.6358,-21.7055
CELEBRATION,2879,56877.0,45778.5,5.1524907996396,4.529357370902779,3.085418771276,82126.89573097229,94627.45685044306,-12500.561119470774,35441.96002626418,-0.35270513002687387,0.4011791789144359,12.093829042458603,43.1551,24.2439,-18.9112
CLEANING,45237,55522609.0,47975975.5,2.7677777407388784,2.3992863295332887,1.938496561497936,25584250.12182759,39785573.537874565,-14201323.416046973,20459604.544226177,-0.6941152447667749,0.2996198600179362,13.313620012971782,79.9695,15.73,-64.2395
DAIRY,41527,38425245.0,27627705.0,1.9200096404866565,1.7351788358521363,1.381552236065929,13588188.735301966,14876342.324401556,-1288153.5890995897,7102168.951628573,-0.18137467552137124,0.28044515666298797,9.626556072274294,52.2672,39.0823,-13.1849
DELI,35905,11394777.237680435,9550474.707698822,6.62572858654697,5.885073492403146,4.699583936531077,13508389.406758938,18395595.76334618,-4887206.356587242,8439599.807722103,-0.5790803436100755,0.2907068445162062,11.17847017832373,62.4767,19.3111,-43.1656
EGGS,24831,5175708.0,4240679.0,2.551484932982821,2.249307973576905,1.9176970607088437,1716321.254618527,2687690.920406938,-971369.6657884112,1563979.7062128761,-0.6210884079439559,0.24839961391935236,11.843180239855677,91.1239,22.049,-69.0749
FROZEN FOODS,32147,6514340.15308857,4419156.4632258415,4.588899177179049,4.070238468964878,3.2039256790599784,5643456.192411671,6120414.585609393,-476958.3931977218,3378732.277348926,-0.1411648967854773,0.3018095287442032,11.302508252818244,59.8699,47.4114,-12.4585
GROCERY I,50183,218560248.1102295,170351607.67956543,1.7024013144366263,1.4552296526203516,1.242398161395306,46516503.52781613,78362276.65825811,-31845773.13044198,54021899.73238274,-0.5894974684008093,0.2702084104026604,14.519000879535326,116.1349,28.2995,-87.8354
GROCERY II,3794,105917.0,79723.5,3.352476570536158,2.93618959882049,2.3753819874395288,59399.05977463725,77897.39999550412,-18498.34022086687,44091.867183208444,-0.41954086779776056,0.291454559797375,12.4172969730581,74.2299,32.8554,-41.3745
HARDWARE,99,225.0,89.5,8.292133560180664,6.736315697564019,5.656861275566949,242.87724494934082,235.8568694729275,7.020375476413307,350.0590190887451,0.020054833881122024,0.31780388792438835,18.762576016476363,144.13,151.3966,7.2666
HOME AND KITCHEN I,13537,519833.0,211694.5,9.960273611718081,8.436909236650532,6.570606897916545,970165.5436511046,717573.8001448592,252591.74350624532,791895.0731844894,0.318971227451239,0.3403186344011328,15.294402889448122,81.6247,145.5581,63.9334
HOME AND KITCHEN II,17050,691386.0,163646.0,12.309680223879468,10.336923174198441,8.089832166342577,1553607.2635574348,690561.2552236822,863046.0083337526,1363936.6055507665,0.632761086418125,0.34280728506259944,16.026062528042672,87.7916,322.4888,234.6972
HOME APPLIANCES,45,64.0,13.0,52.0774684548378,36.454227685928345,38.272958278656006,-116.39875793457031,179.4586322903633,-295.8573902249336,999.8874092102051,-0.2958907047930793,0.2650764444925588,30.000000446369846,,392.3077,
HOME CARE,29184,8881084.0,3165468.0,3.654133502413506,3.082128511198275,2.5928537338915008,4345290.396342754,3359447.1463038158,985843.2500389386,5080024.3754017325,0.19406270072493054,0.29043267516664195,15.653642398052225,116.9087,180.5615,63.6528
LADIESWEAR,403,7898.0,5750.5,15.916334463029187,13.523931920000136,7.501043870135723,47568.76981782913,48392.12855443387,-823.3587366047359,18895.19528484345,-0.04357503186353322,0.5287203917736641,15.031115038366261,39.7218,37.3446,-2.3772
LAWN AND GARDEN,3960,66404.0,28769.5,9.27495493243153,7.744445572825169,6.250933602433428,99175.16888189317,86999.5816533804,12175.58722851277,101631.9435153008,0.11980079104439957,0.3260416198276148,16.50152880263237,102.4772,130.8139,28.3367
LINGERIE,1838,21306.0,15352.0,10.52735124336636,8.848436498556921,4.745139471859951,87424.84645080565,88768.51511616638,-1343.6686653607321,35770.95755290989,-0.03756311704469392,0.5492560890043424,15.948121288984051,40.9162,38.7832,-2.133
"LIQUOR,WINE,BEER",16270,1825225.0,1436562.0,7.970021427796533,6.5774616031500175,5.594559990437537,1794016.5960631378,3412497.633375315,-1618481.0373121772,2541735.005940437,-0.6367623035169012,0.29804956722879716,17.472472781437876,141.6785,27.0551,-114.6234
MAGAZINES,122,436.0,311.0,3.4119965816856523,2.8050592601846116,2.477709732471256,142.72439408302301,290.56321010567723,-147.8388160226542,264.62467217445374,-0.5586735915734702,0.27382408711348244,17.788333222807374,185.4096,40.1929,-145.2167
MEATS,18934,8833706.723246098,7873623.939732552,5.979760286831285,5.0865262191000085,4.522204875839541,4985049.244031263,11476243.177471314,-6491193.933440051,7890567.789550235,-0.8226523244672678,0.24374813388449595,14.937623330794203,158.2847,12.1937,-146.091
PERSONAL CARE,34682,11525051.0,9213487.5,4.3909283930715475,3.6537110307784637,2.7201454500453015,10759390.929794312,15393737.76078553,-4634346.830991218,8496467.698513268,-0.5454439415808227,0.3805079002569427,16.789555563154714,78.9679,25.0889,-53.879
PET SUPPLIES,2715,42644.0,31065.5,7.408288355158122,5.185801847959905,5.060472441708076,5344.547200202971,72936.0752592824,-67591.52805907943,94775.71461296079,-0.7131734995099276,0.3169174579733181,30.0000000087845,1773.3161,37.2712,-1736.0449
PLAYERS AND ELECTRONICS,745,13194.0,9554.5,35.04081241054853,30.525440233701055,25.86719764187891,61460.85275650138,87649.3023072539,-26188.449550752528,59575.82050132563,-0.4395818526774601,0.26179800460071634,12.88603735536734,96.933,38.092,-58.841
POULTRY,17395,8305245.947793961,6479770.190215111,4.480331654154879,3.8257780310195404,3.430458078832967,3283229.4309796407,6802939.496865485,-3519710.065885844,5436228.826158628,-0.6474543619189329,0.2343294328106942,14.60949040520989,165.5757,28.1719,-137.4038
PREPARED FOODS,15995,1800381.3360099792,1579339.6126403809,5.451100584618702,4.886932771371796,3.8130143655243125,1933462.6542853988,2587094.4547360796,-653631.8004506808,1015717.2013472941,-0.6435175062346816,0.3005055939926252,10.349612972448375,52.5336,13.9958,-38.5378
PRODUCE,27771,67451283.07237244,21374193.621067047,1.5020787500694162,1.3173254930786176,1.1114483333706675,13886678.577596968,8349410.160797155,5537268.416799813,12461844.235829128,0.4443377972001589,0.2600598781393428,12.299838272944108,89.7396,215.5735,125.8339
SCHOOL AND OFFICE SUPPLIES,3372,162311.0,3986.0,3.1849363161992548,2.489732449048152,1.8148263643610973,109544.68151164053,5461.258268026895,104083.42324361364,112839.23488116263,0.9224045461955654,0.43018441055461315,21.827873405667486,103.0075,3972.0271,3869.0196
SEAFOOD,15117,530138.3133352697,469662.59420982003,9.23552064996352,7.721038121803035,6.796023025163774,490385.9431419994,1145740.783032143,-655354.8398901436,802885.2130547347,-0.8162497318847325,0.26414294518516207,16.398453163184335,163.7252,12.8764,-150.8488
