family,promo_days,promo_days_excluded_insufficient_support,observed_units_on_promo,expected_units_observational,estimated_observational_uplift_pct,baseline_l1_share_pct,baseline_l2_share_pct,baseline_l3_share_pct,baseline_l4_share_pct,baseline_l5_share_pct,median_promotion_breadth
AUTOMOTIVE,2782,0,36045.0,28214.0,27.7557,38.32,26.46,32.24,2.98,0.0,1.0
BABY CARE,44,0,73.0,18.0,305.5556,75.0,4.55,20.45,0.0,0.0,1.0
BEAUTY,10320,0,84144.0,47794.0,76.0556,17.49,19.48,55.96,6.32,0.76,1.0
BEVERAGES,46148,758,146886591.0,69899407.5,110.14,1.81,0.94,36.15,57.31,2.18,11.0
BREAD/BAKERY,35406,0,20357374.0872,16599866.6697,22.6358,5.9,5.1,59.9,27.76,1.34,4.0
CELEBRATION,2879,0,56877.0,45778.5,24.2439,48.11,25.56,25.39,0.94,0.0,1.0
CLEANING,45237,112,55522609.0,47975975.5,15.73,2.16,1.25,40.43,54.54,1.36,8.0
DAIRY,41527,112,38425245.0,27627705.0,39.0823,3.6,2.24,46.56,46.13,1.21,6.0
DELI,35905,111,11394777.2377,9550474.7077,19.3111,5.31,5.26,57.79,29.96,1.38,6.0
EGGS,24831,0,5175708.0,4240679.0,22.049,10.89,9.7,56.69,20.92,1.81,2.0
FROZEN FOODS,32147,0,6514340.1531,4419156.4632,47.4114,6.47,4.88,60.37,27.41,0.88,2.0
GROCERY I,50183,1555,218560248.1102,170351607.6796,28.2995,0.46,0.51,29.9,60.44,5.69,22.0
GROCERY II,3794,0,105917.0,79723.5,32.8554,16.0,20.95,54.14,8.91,0.0,1.0
HARDWARE,99,0,225.0,89.5,151.3966,72.73,12.12,13.13,2.02,0.0,1.0
HOME AND KITCHEN I,13537,0,519833.0,211694.5,145.5581,10.2,8.24,72.87,7.93,0.76,2.0
HOME AND KITCHEN II,17050,108,691386.0,163646.0,322.4888,10.56,6.08,73.24,9.48,0.0,1.0
HOME APPLIANCES,45,0,64.0,13.0,392.3077,71.11,17.78,8.89,2.22,0.0,1.0
HOME CARE,29184,112,8881084.0,3165468.0,180.5615,5.19,8.82,70.18,15.43,0.0,5.0
LADIESWEAR,403,0,7898.0,5750.5,37.3446,52.11,15.88,26.3,5.71,0.0,2.0
LAWN AND GARDEN,3960,0,66404.0,28769.5,130.8139,5.23,2.32,42.68,46.97,2.8,2.0
LINGERIE,1838,0,21306.0,15352.0,38.7832,48.91,34.33,15.02,1.74,0.0,1.0
"LIQUOR,WINE,BEER",16270,111,1825225.0,1436562.0,27.0551,10.34,3.67,75.89,9.43,0.0,2.0
MAGAZINES,122,0,436.0,311.0,40.1929,82.79,1.64,13.93,1.64,0.0,1.0
MEATS,18934,0,8833706.7232,7873623.9397,12.1937,17.25,13.79,36.5,28.86,3.6,3.0
PERSONAL CARE,34682,111,11525051.0,9213487.5,25.0889,5.19,4.23,63.54,26.72,0.0,6.0
PET SUPPLIES,2715,0,42644.0,31065.5,37.2712,47.81,29.47,21.8,0.92,0.0,1.0
PLAYERS AND ELECTRONICS,745,0,13194.0,9554.5,38.092,64.03,16.24,18.39,1.34,0.0,1.0
POULTRY,17395,0,8305245.9478,6479770.1902,28.1719,18.3,16.02,39.59,23.14,2.95,3.0
PREPARED FOODS,15995,0,1800381.336,1579339.6126,13.9958,6.51,7.79,59.31,25.88,0.52,1.0
PRODUCE,27771,0,67451283.0724,21374193.6211,215.5735,4.48,4.79,64.49,24.86,1.38,4.0
SCHOOL AND OFFICE SUPPLIES,3372,0,162311.0,3986.0,3972.0271,20.49,14.77,58.78,5.96,0.0,3.0
SEAFOOD,15117,0,530138.3133,469662.5942,12.8764,8.69,8.7,57.8,23.5,1.31,1.0
