store_nbr,total_sales,avg_daily_sales,city,state,type,cluster,sales_rank
44,62087553.250089,36869.0933789127,Quito,Pichincha,A,5,1
45,54498010.416674,32362.238964770786,Quito,Pichincha,A,11,2
47,50948310.061006,30254.34089133373,Quito,Pichincha,A,14,3
3,50481910.185082,29977.381345060567,Quito,Pichincha,D,8,4
49,43420095.783768,25783.90485971971,Quito,Pichincha,A,11,5
46,41896062.1216342,24878.896746813658,Quito,Pichincha,A,14,6
48,35933130.2739365,21337.963345567994,Quito,Pichincha,A,14,7
51,32911489.537604,19543.639867935864,Guayaquil,Guayas,A,17,8
8,30494286.928015,18108.246394308197,Quito,Pichincha,D,8,9
50,28653020.6246953,17014.857853144476,Ambato,Tungurahua,A,14,10
11,28325558.481396,16820.402898691213,Cayambe,Pichincha,B,6,11
7,26952049.582971,16004.780037393708,Quito,Pichincha,D,8,12
9,26409441.0647935,15682.565952965264,Quito,Pichincha,B,6,13
6,25183679.997054,14954.67933316746,Quito,Pichincha,D,13,14
24,23767732.701713,14113.85552358254,Guayaquil,Guayas,D,1,15
2,21557388.6445642,12801.299670168763,Quito,Pichincha,D,13,16
39,20252192.53354,12026.242597114015,Cuenca,Azuay,B,6,17
37,19970635.6144784,11859.047277006175,Cuenca,Azuay,D,2,18
27,19188021.3815342,11394.311984283966,Daule,Guayas,D,1,19
4,18909700.380001,11229.038230404394,Quito,Pichincha,D,9,20
38,18859999.2605296,11199.524501502137,Loja,Loja,D,4,21
40,18395757.405968,10923.846440598574,Machala,El Oro,C,3,22
28,18383154.8339259,10916.3627279845,Guayaquil,Guayas,E,10,23
17,18030969.250161,10707.226395582542,Quito,Pichincha,C,12,24
31,17746872.701507,10538.52298189252,Babahoyo,Los Rios,B,10,25
34,17090734.15915,10148.892018497623,Guayaquil,Guayas,B,6,26
43,16391692.2119096,9733.783973818052,Esmeraldas,Esmeraldas,E,10,27
5,15592404.5723532,9259.147608285748,Santo Domingo,Santo Domingo de los Tsachilas,D,4,28
36,15322431.096578,9098.830817445367,Libertad,Guayas,E,10,29
41,14991039.1385844,8902.042243814965,Machala,El Oro,D,4,30
33,14178501.293449,8419.53758518349,Quevedo,Los Rios,C,3,31
1,14145012.8696541,8399.651347775594,Quito,Pichincha,D,13,32
18,13259375.6899043,7873.738533197327,Quito,Pichincha,B,16,33
19,13049509.836733,7749.115104948338,Guaranda,Bolivar,C,15,34
20,12920954.5928321,7672.775886479869,Quito,Pichincha,B,6,35
23,11651380.6749087,6918.872134743884,Ambato,Tungurahua,D,9,36
15,11451270.022648,6800.041581144893,Ibarra,Imbabura,C,15,37
25,11420997.8725745,6782.065244996735,Salinas,Santa Elena,D,1,38
14,11387918.748218,6762.422059511877,Riobamba,Chimborazo,C,7,39
53,11216167.2826831,6660.431878077849,Manta,Manabi,D,13,40
54,11057483.1179049,6566.201376428086,El Carmen,Manabi,C,3,41
16,10986412.5547492,6523.997954126603,Santo Domingo,Santo Domingo de los Tsachilas,C,3,42
12,10659217.957236,6329.701874843231,Latacunga,Cotopaxi,C,15,43
13,10523045.81794,6248.839559346794,Latacunga,Cotopaxi,C,15,44
29,9725157.696084,5775.034261332542,Guayaquil,Guayas,E,10,45
10,9613905.735863,5708.970151937648,Quito,Pichincha,C,15,46
21,9255505.91021,5496.143652143705,Santo Domingo,Santo Domingo de los Tsachilas,B,6,47
42,8945767.8851627,5312.21370852892,Cuenca,Azuay,D,2,48
26,7755121.8918648,4605.179270703563,Guayaquil,Guayas,D,10,49
35,7676679.4216696,4558.59823139525,Playas,Guayas,C,3,50
30,7382073.663963,4383.654194752376,Guayaquil,Guayas,C,3,51
32,5951795.9975515,3534.3206636291566,Guayaquil,Guayas,C,3,52
22,4090201.7408,2428.8608912114014,Puyo,Pastaza,C,7,53
52,2696169.733249,1601.050910480404,Manta,Manabi,A,11,54
